 , C003, C004, C005, C008, C009, C010, C016, C017, C018, C020, C023, C024, C028, C029, C038, C039, C041, C045, C053, C055, C059, C060, C066, C070, C073, C076, C077, C080, C082, C083, C087, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 88.06445, 0, 0, 51.09302, 0, 158.4728, 24.0648, 59.00497, 195.4374, 119.2092, 35.69504, 0, 0, 41.11743, 0, 0, 0, 27.4762, 11.58649, 35.53369, 0, 0, 133.1688, 0, 0, 0, 233.9363, 0, 85.40305, 85.11157, 30.52991, 180.0617
0.2, 164.5239, 29.33308, 0, 153.6601, 0, 151.7106, 23.08284, 56.22277, 187.4062, 161.6687, 33.86023, 0, 0, 155.083, 75.69946, 0, 60.97632, 26.14233, 94.96533, 33.86755, -1.525879e-05, 177.6931, 386.8838, 65.04425, 36.37537, 0, 224.1865, 0, 136.3544, 81.50439, 44.59607, 239.7998
0.3, 214.5349, 27.74544, 0, 147.3431, 0, 145.2368, 22.14095, 53.57174, 211.2238, 154.9691, 32.11975, 75.60486, 0, 165.266, 72.15277, 0, 58.18469, 108.537, 199.7208, 86.69543, -1.525879e-05, 248.9774, 451.7603, 179.1364, 154.392, 0, 349.4089, 0, 129.6797, 210.9421, 42.66187, 298.9016
0.4, 205.3774, 26.24372, 0, 256.6086, 0, 139.0393, 21.23749, 81.18181, 202.5438, 148.5471, 50.46887, 72.55048, 0, 225.681, 68.77216, 0, 55.52087, 132.7379, 189.7645, 82.63037, 0, 272.3583, 498.0841, 255.9839, 147.6827, 0, 373.7866, 0, 123.3318, 308.0774, 69.44183, 284.6263
0.5, 282.6008, 24.82328, 0, 283.5151, 0, 161.0763, 82.90677, 77.35391, 194.2206, 142.3913, 47.87469, 69.61951, 0, 358.1343, 65.54999, 0, 102.4262, 126.2938, 221.7327, 78.75586, 0, 311.1575, 581.0236, 243.2589, 141.2651, 0, 488.5583, 0, 117.2946, 394.1753, 66.43018, 271.0328
0.6, 382.4263, 23.47973, 0, 272.5434, 0, 203.7972, 79.52374, 73.70651, 186.2393, 136.4905, 45.41382, 66.80695, 7.629395e-06, 424.573, 129.5306, 12.88348, 97.73688, 120.1625, 251.2472, 75.06311, 0, 298.2417, 618.3575, 231.1664, 135.1262, 146.9724, 553.8875, 0, 111.5529, 377.4697, 154.894, 258.0886
0.7, 476.5444, 34.46076, 0, 261.3391, 0, 195.1009, 76.27879, 173.8417, 178.5861, 130.8343, 43.0795, 115.431, 7.629395e-06, 406.4509, 123.4617, 12.33499, 93.26221, 177.5241, 277.1619, 201.3917, 0, 285.8621, 640.6335, 266.8883, 220.8268, 139.7079, 585.6558, 0, 106.0923, 573.2493, 148.1764, 245.7625
0.8, 508.7798, 41.30432, 0, 250.5953, 0, 349.5344, 73.16623, 165.6447, 171.2474, 125.4124, 91.4606, 163.6373, 1.525879e-05, 471.2996, 162.2719, 11.80983, 88.99237, 168.9058, 380.454, 200.8998, 7.629395e-06, 413.3149, 685.3519, 253.6212, 211.2306, 132.8024, 561.2476, 0, 100.899, 778.9353, 315.127, 234.0251
0.9, 487.0623, 39.06874, 0, 387.322, 0, 334.6191, 70.18068, 157.8342, 325.1437, 156.4467, 86.75937, 157.0265, 7.629395e-06, 451.1831, 337.8844, 11.30704, 84.91803, 231.1147, 361.488, 253.8071, 0, 467.6096, 799.3182, 241.0135, 202.0513, 126.2383, 889.8569, 3.347915, 95.95984, 745.9226, 341.6078, 222.8484
1, 682.5514, 36.95415, 0, 371.399, 0, 320.3404, 67.31697, 150.3919, 363.4911, 149.9634, 82.2998, 150.6828, 5.404778, 576.5044, 636.6588, 10.82564, 81.03027, 282.6149, 546.9304, 276.4042, 0, 491.1932, 809.4349, 409.1335, 321.3235, 119.9987, 1007.688, 200.2261, 206.2622, 849.2659, 326.7925, 212.2054
1.1, 667.6244, 34.95402, 0, 435.947, 0, 306.671, 64.5701, 143.3006, 348.554, 143.7489, 78.06946, 236.3094, 5.17334, 551.8975, 786.4866, 28.76653, 77.32047, 268.8947, 564.5108, 296.2563, 0, 470.8043, 854.972, 504.2339, 307.36, 114.0674, 1015.722, 310.6973, 207.8741, 979.7876, 463.8791, 332.5703
1.2, 639.1266, 33.06213, 0, 418.0251, 0, 391.6251, 61.9353, 136.5437, 334.2306, 137.7918, 74.05656, 226.7627, 4.95182, 576.5657, 810.7371, 32.52731, 73.78052, 255.8406, 600.5748, 302.2136, 7.629395e-06, 525.36, 921.5314, 545.5168, 294.0034, 108.4293, 973.3904, 296.7665, 267.3284, 938.2628, 443.761, 316.687
1.3, 684.3195, 31.27265, 0, 419.1841, 0, 396.9545, 59.40804, 130.1054, 405.3947, 132.0817, 70.24992, 217.6017, 14.78424, 661.8032, 772.7516, 31.14246, 70.40265, 281.5762, 584.8634, 320.1554, 0, 503.5527, 881.9056, 518.3989, 320.277, 103.0699, 1136.235, 283.4603, 254.2425, 1015.259, 424.5153, 301.5624
1.4, 697.9214, 73.19652, 0, 416.9027, 0, 380.0158, 56.98389, 123.9706, 413.9539, 126.6082, 66.63896, 208.8108, 14.15118, 751.511, 816.0134, 29.81656, 91.55905, 267.9065, 664.0023, 364.913, 0, 633.4497, 944.0862, 492.6291, 306.359, 97.9754, 1119.719, 270.7507, 351.5793, 1199.387, 445.1413, 342.3902
1.5, 772.688, 69.23477, 0, 435.0371, 0, 363.7999, 54.65868, 118.1252, 396.9431, 121.3615, 63.21361, 200.375, 19.91128, 719.4342, 777.7806, 87.58136, 145.9966, 254.9004, 651.0743, 399.6952, 0, 607.1558, 924.1758, 534.9132, 343.9423, 93.13269, 1105.04, 258.611, 334.3692, 1461.725, 548.7604, 509.2956
1.6, 815.083, 65.48746, 0, 553.0938, 0, 483.8046, 52.42833, 112.5553, 411.9782, 116.3322, 59.96431, 192.28, 89.21764, 821.0371, 825.7446, 83.85257, 211.2291, 242.5256, 618.6177, 380.9538, 0, 716.4095, 884.4363, 523.1631, 328.9958, 88.52936, 1104.463, 247.0155, 318.0015, 1399.776, 633.7999, 484.9721
1.7, 921.7848, 99.12477, 0, 530.356, 0, 463.1598, 50.28899, 107.2481, 395.0486, 111.5113, 56.88203, 208.3975, 85.39735, 838.3051, 787.056, 80.28253, 201.5584, 230.7516, 587.779, 426.4427, 0, 717.5799, 846.4056, 536.4418, 443.9217, 84.15356, 1175.933, 235.94, 302.435, 1424.096, 641.2989, 461.8103
1.8, 1063.717, 93.75967, 0, 577.1009, 0, 443.3961, 48.23696, 191.1678, 378.8146, 106.8902, 53.95819, 211.4313, 82.62787, 802.5236, 837.6789, 76.86449, 192.3305, 219.5493, 638.1938, 406.4472, 0, 768.9026, 810.0101, 509.7751, 445.9116, 79.99405, 1209.364, 225.3611, 287.6305, 1640.713, 628.7047, 439.7548
1.9, 1053.609, 88.68494, 0, 555.7443, 0, 424.4756, 46.26865, 182.1538, 363.2478, 102.4606, 51.18465, 261.1437, 79.08975, 893.5259, 798.4311, 73.59198, 224.0809, 208.8907, 742.8439, 420.0928, 0, 736.9861, 1039.634, 484.4339, 476.0474, 76.04013, 1285.567, 215.2565, 273.5507, 1571.177, 601.4382, 418.7526
2, 1035.776, 83.88489, 0, 532.8975, 0, 485.6354, 44.38065, 173.5649, 348.3206, 98.21463, 48.55368, 326.0734, 75.70314, 951.7602, 831.7743, 96.04863, 220.4854, 301.0627, 705.8125, 419.4917, 0, 803.9601, 1032.921, 497.6669, 455.3603, 72.28162, 1231.99, 205.605, 316.8117, 1553.686, 575.3544, 398.7534
2.1, 1054.077, 79.34464, 0, 510.9899, 0, 464.9125, 42.5697, 165.3809, 395.3884, 94.14457, 95.41876, 328.3532, 72.46153, 911.1362, 792.803, 147.7608, 272.5901, 286.447, 670.6272, 399.8221, 0, 770.5885, 999.3758, 691.4103, 435.5721, 68.70891, 1304.473, 350.9538, 399.1904, 1708.358, 630.7943, 379.7093
2.2, 1205.11, 75.05013, 0, 599.394, 0, 445.0739, 40.83265, 157.5829, 454.4951, 144.5117, 90.51408, 315.088, 69.35875, 969.2467, 956.287, 170.3872, 260.1101, 472.2908, 662.8455, 514.7666, 0, 738.6022, 956.4026, 689.0234, 565.6311, 65.31279, 1462.352, 335.218, 379.6497, 1753.73, 651.1112, 361.5748
2.3, 1209.113, 70.98806, 0, 627.1408, 0, 426.0819, 39.16647, 150.1525, 485.7522, 138.5231, 85.8615, 302.3587, 66.38881, 927.8763, 1223.244, 163.1329, 248.2015, 449.3623, 768.8589, 490.6296, 0, 820.7614, 950.0612, 777.054, 557.8917, 62.08453, 1510.427, 350.6343, 361.0654, 1754.206, 675.2173, 344.3063
2.4, 1274.44, 67.14585, 0, 601.3588, 0, 407.9003, 37.56829, 143.0725, 548.8358, 132.7826, 81.44806, 290.1437, 63.54605, 935.0289, 1671.406, 156.1875, 236.8381, 427.5469, 730.5306, 561.9764, -3.814697e-06, 933.7286, 1115.785, 893.339, 596.4506, 59.01584, 1479.902, 364.4308, 371.7738, 1809.858, 645.9336, 327.8626
2.5, 1353.822, 63.5116, 0, 666.5222, 0, 427.7659, 36.03532, 136.3263, 564.188, 127.28, 77.2615, 321.0925, 60.82502, 1067.865, 1665.775, 149.5378, 225.995, 427.4216, 766.0609, 564.5037, 0, 1102.176, 1067.807, 916.7283, 570.5312, 56.09883, 1570.602, 348.0907, 353.5751, 1914.106, 617.9199, 312.2042
2.6, 1296.033, 60.07405, 0, 743.8713, 0, 409.5125, 34.5649, 129.8982, 541.0035, 122.0055, 101.7044, 308.1207, 58.2205, 1022.286, 1587.729, 143.1712, 215.6483, 406.6714, 750.1124, 622.3841, -3.814697e-06, 1056.425, 1021.891, 935.7114, 545.7382, 53.326, 1551.517, 332.4832, 425.0703, 2071.83, 722.9429, 297.2936
2.7, 1240.711, 78.66562, 0, 713.2905, 0, 392.0379, 33.15447, 123.7732, 518.7718, 168.5708, 107.289, 295.6729, 58.36275, 1092.514, 1559.95, 137.0757, 311.1794, 386.9285, 729.3535, 593.201, -3.814697e-06, 1012.574, 1082.388, 889.1968, 700.41, 50.69022, 1698.704, 317.5756, 404.2627, 1984.023, 691.5894, 283.0952
2.8, 1386.555, 87.02815, 0, 683.9668, 0, 375.309, 31.80161, 117.937, 497.4536, 161.5851, 127.8788, 283.728, 55.86367, 1117.726, 1594.687, 131.2397, 296.9327, 368.1442, 806.9016, 592.2422, -3.814697e-06, 1011.138, 1153.404, 866.8033, 687.9492, 48.18472, 1627.908, 352.6134, 384.4737, 2011.648, 661.5956, 269.5748
2.9, 1359.819, 124.9364, 0, 732.9142, 0, 413.825, 30.50395, 167.0566, 514.9138, 154.8889, 121.3057, 296.9903, 161.183, 1070.018, 1563.094, 125.6521, 377.8417, 397.2209, 803.8546, 661.1803, -3.814697e-06, 1159.532, 1103.807, 892.6511, 658.0537, 45.80306, 1665.946, 336.8032, 365.6534, 1926.391, 693.0004, 381.4578
3, 1379.051, 118.1743, 0, 820.6951, 0, 454.9224, 29.25924, 191.0796, 616.8635, 148.4703, 115.0703, 399.0764, 154.2812, 1149.891, 1577.149, 236.0475, 388.0198, 377.937, 882.2017, 682.4562, -3.814697e-06, 1186.199, 1056.344, 922.8364, 646.0702, 43.53912, 1596.516, 398.9808, 347.7542, 2024.128, 739.3518, 393.6079
3.1, 1346.173, 111.7781, 0, 830.5046, 0, 435.5101, 28.06531, 255.3636, 620.984, 142.3176, 109.1555, 382.954, 170.6172, 1202.395, 1617.013, 266.6061, 370.2552, 359.5891, 878.0949, 697.8217, 172.8729, 1234.079, 1193.594, 876.9618, 707.6549, 41.38708, 1833.283, 423.7101, 330.7313, 1938.343, 721.6917, 374.8096
3.2, 1420.873, 147.5842, 0, 796.3623, 0, 416.9262, 117.5241, 243.3226, 691.3481, 136.4199, 103.5447, 367.483, 163.3114, 1267.373, 1739.738, 296.5298, 353.3039, 342.132, 890.8558, 665.1014, 165.158, 1380.486, 1142.269, 833.3677, 713.6348, 39.34142, 1855.892, 404.712, 343.4634, 1998.007, 727.1373, 417.4037
3.3, 1396.881, 139.5962, 0, 763.6236, 0, 469.7325, 112.7286, 374.4895, 729.228, 161.7503, 140.3221, 507.3755, 197.8716, 1406.033, 1701.318, 283.905, 433.2906, 362.0554, 956.3987, 633.9153, 277.2307, 1346.453, 1234.344, 982.0363, 873.7083, 37.39687, 1838.576, 428.1501, 449.2698, 2095.593, 695.6019, 550.4861
3.4, 1690.8, 132.0406, 0, 732.2308, 0, 610.5814, 141.2572, 356.8315, 699.2614, 155.0473, 287.8604, 510.4749, 298.4334, 1517.092, 1735.647, 286.8123, 695.5754, 432.6577, 908.7214, 751.1212, 685.0013, 1421.077, 1491.073, 1036.227, 835.7404, 174.2044, 1961.24, 408.953, 579.5917, 2235.365, 665.4341, 767.1531
3.5, 1800.544, 148.2303, 0, 702.1285, 0, 595.9087, 209.7379, 371.0084, 722.2726, 148.622, 604.6008, 528.5508, 396.6506, 1584.617, 1815.836, 332.4307, 975.9468, 411.6532, 919.5126, 828.1166, 890.6765, 1749.76, 1554.584, 1296.259, 945.2855, 165.5939, 2007.691, 390.6167, 610.929, 2164.458, 752.6621, 1032.05
3.6, 2028.886, 183.0554, 0, 695.141, 0, 627.869, 201.1795, 539.7638, 692.5918, 142.463, 573.5233, 558.2454, 379.6661, 1593.182, 1965.303, 380.8606, 1157.674, 391.6685, 928.8214, 789.2869, 850.9272, 1782.974, 1591.054, 1292.166, 976.0786, 157.409, 1924.017, 373.1025, 581.0234, 2324.658, 767.1334, 982.7606
3.7, 1999.369, 202.4187, 0, 666.5635, 0, 650.554, 192.9704, 514.3127, 664.1307, 138.4214, 544.0431, 535.6927, 363.4088, 1697.167, 1961.527, 364.6454, 1209.636, 411.5273, 915.8329, 816.3791, 929.7786, 1708.964, 1694.091, 1409.767, 956.2472, 149.6286, 2053.341, 356.3736, 552.5818, 2365.05, 733.8634, 935.8249
3.8, 1914.025, 191.4629, 0, 639.1608, 0, 622.7938, 185.0962, 490.0618, 636.8393, 132.6852, 516.0784, 514.0513, 350.4106, 1638.825, 1931.696, 349.1206, 1335.376, 391.5487, 1050.938, 812.6353, 888.2843, 1891.4, 1621.245, 1394.104, 1089.787, 170.6987, 2177.288, 390.7823, 525.5324, 2264.816, 702.0363, 891.1308
3.9, 1912.593, 329.1345, 0, 612.8848, 0, 596.2181, 177.5434, 466.9543, 610.6693, 127.1866, 489.551, 551.4525, 335.4061, 1753.045, 1929.601, 334.2567, 1467.354, 412.4055, 1020.335, 838.2129, 848.6419, 1812.89, 1565.965, 1521.532, 1109.388, 162.2615, 2207.745, 373.2607, 523.441, 2391.066, 727.126, 926.6779
4, 2108.047, 315.8743, 0, 587.6889, 0, 570.7766, 170.2987, 444.9364, 585.5747, 121.916, 464.3873, 529.1743, 321.044, 1678.22, 1904.094, 563.0115, 1530.104, 392.3843, 1031.324, 808.3566, 810.7687, 1737.639, 1719.096, 1445.896, 1076.061, 213.0872, 2319.032, 356.5247, 525.614, 2417.858, 810.4141, 882.4207
4.1, 2087.878, 338.6664, 0, 580.4592, 0, 546.4206, 163.3497, 423.9567, 561.5114, 116.8637, 440.517, 507.7961, 307.297, 1732.77, 1943.199, 575.3802, 1536.668, 373.3351, 1017.437, 825.3217, 774.5856, 1820.787, 1741.351, 1374.02, 1092.163, 238.7605, 2247.477, 537.8752, 612.2314, 2437.522, 775.267, 840.2772
4.2, 1998.756, 454.5605, 0, 556.5963, 0, 523.1039, 156.6842, 403.9662, 564.474, 206.651, 417.8736, 487.2816, 330.4205, 1658.81, 1852.154, 550.8833, 1510.732, 393.5637, 966.7167, 870.2578, 740.0174, 1811.981, 1695.205, 1305.717, 1058.143, 226.9591, 2185.577, 513.7583, 582.2621, 2334.216, 750.1393, 800.1464
4.3, 1913.438, 639.1854, 0, 533.7145, 0, 500.7823, 150.2907, 384.9184, 541.2777, 198.0872, 396.3942, 467.5958, 316.272, 1588.007, 1821.504, 527.4294, 1516.418, 374.4572, 1007.524, 829.4521, 751.2111, 1945.284, 1831.515, 1240.809, 1085.381, 215.7411, 2237.528, 490.7228, 638.1217, 2371.003, 717.6063, 928.2801
4.4, 1937.184, 1044.613, 0, 639.5621, 0, 479.4131, 144.1581, 366.7686, 519.0347, 212.4207, 376.0189, 538.5205, 302.7293, 1718.787, 1861.081, 504.9739, 1467.555, 374.7401, 1014.914, 848.9375, 826.1757, 1880.162, 1752.76, 1179.128, 1088.115, 226.9604, 2144.275, 468.7201, 606.885, 2446.565, 776.0298, 1020.832
4.5, 1854.494, 1218.885, 0, 613.2695, 0, 458.9557, 138.2757, 349.4747, 516.8836, 257.1505, 356.6909, 516.7647, 289.7664, 1645.424, 1773.883, 483.4746, 1498.657, 356.5475, 1032.213, 905.4497, 789.3051, 1875.864, 1741.111, 1262.012, 1122.166, 324.6238, 2071.654, 447.7039, 630.832, 2441.38, 742.374, 972.0778
4.6, 1836.871, 1178.145, 0, 624.8357, 0, 483.9089, 132.6334, 332.9962, 536.2935, 246.4941, 338.3563, 495.8879, 277.3587, 1651.007, 1769.756, 462.8906, 1430.044, 339.238, 1062.411, 862.994, 754.0799, 1849.155, 1809.297, 1199.277, 1170.624, 308.5784, 2307.145, 427.6301, 599.9522, 2337.91, 710.1777, 925.6523
4.7, 1917.171, 1201.336, 0, 636.7186, 0, 477.8781, 127.2213, 317.2947, 514.2552, 236.2793, 320.9642, 475.8544, 265.4822, 1632.447, 1703.616, 538.8467, 1364.573, 322.7689, 1053.318, 1027.478, 763.1116, 1772.399, 1799.677, 1139.66, 1202.69, 293.3261, 2210.991, 408.4564, 570.584, 2437.214, 706.1887, 927.6698
4.8, 1846.35, 1269.748, 0, 682.2383, 0, 541.7202, 243.4722, 302.3336, 512.7987, 226.4877, 304.4661, 456.6303, 254.1143, 1752.317, 1722.883, 515.9052, 1359.331, 410.9017, 1077.494, 979.3003, 729.0554, 1899.286, 1722.291, 1083.007, 1150.426, 316.5331, 2188.082, 390.1423, 542.6533, 2416.871, 831.6387, 1006.239
4.9, 1899.451, 1201.023, 0, 665.2888, 0, 518.6041, 313.489, 288.0779, 491.726, 217.102, 288.816, 536.5894, 243.2332, 1716.977, 1669.774, 523.3663, 1335.668, 390.9534, 1035.3, 960.6956, 696.5191, 1820.449, 1707.568, 1102.662, 1197.211, 369.1613, 2096.89, 372.6494, 516.0899, 2474.317, 795.5711, 980.1298
5, 1818.372, 1188.007, 0, 637.9385, 0, 496.4744, 300.6971, 274.4944, 586.0176, 208.1051, 273.9704, 514.9116, 232.818, 1685.386, 1615.719, 514.6786, 1370.095, 371.9737, 1044.002, 915.6493, 699.1879, 1886.291, 1696.823, 1047.848, 1145.185, 350.9145, 2099.635, 355.9408, 490.8268, 2369.452, 775.4327, 933.3198
5.1, 1800.033, 1123.707, 0, 611.7126, 0, 599.2723, 315.0698, 261.5514, 561.936, 261.2759, 259.8878, 524.1832, 222.8487, 1734.031, 1540.018, 492.7661, 1355.746, 353.9153, 1134.704, 955.4874, 755.9515, 1880.945, 1945.793, 1096.898, 1095.42, 333.5696, 2126.705, 339.9814, 466.8004, 2471.569, 741.8027, 965.5339
5.2, 1814.641, 1138.724, 0, 586.5649, 0, 581.0222, 302.2134, 249.2187, 538.8441, 250.4485, 246.5291, 503.0066, 213.3064, 1771.983, 1586.682, 471.7864, 1293.676, 385.3779, 1169.877, 954.4869, 788.2429, 1886.408, 1862.124, 1111.156, 1079.244, 405.2175, 2132.61, 324.7375, 443.95, 2382.573, 756.2841, 919.421
5.3, 1751.751, 1083.287, 0, 680.2971, 0, 556.2291, 322.7975, 237.4675, 516.701, 240.0698, 295.0706, 482.6856, 204.1726, 1696.349, 1584.125, 602.9832, 1361.871, 366.6688, 1227.193, 1021.815, 824.147, 1808.105, 1863.55, 1148.76, 1032.345, 566.6552, 2043.73, 310.1772, 422.2183, 2427.198, 760.9347, 875.5104
5.4, 1761.564, 1024.654, 0, 652.3298, 0, 605.5486, 309.6258, 226.2704, 508.5303, 234.3237, 345.2933, 463.1855, 246.0472, 1737.876, 1624.09, 577.311, 1299.521, 443.0899, 1192.102, 973.9026, 787.3669, 1783.233, 1939.916, 1154.363, 1057.278, 538.6468, 1958.554, 296.2697, 401.5503, 2507.419, 770.8481, 833.6969
5.5, 1828.901, 969.1953, 0, 689.3761, 0, 655.3699, 296.9915, 373.1708, 510.3382, 224.6132, 339.3289, 513.9115, 235.5115, 1736.911, 1640.366, 552.7319, 1464.595, 431.9951, 1148.09, 976.9284, 861.8261, 1824.602, 2069.28, 1317.63, 1074.265, 512.0227, 2101.048, 282.9857, 451.2745, 2499.755, 737.417, 793.8804
5.6, 1983.174, 921.2501, 0, 661.0356, 0, 678.8318, 284.8727, 355.575, 691.2313, 215.3052, 338.8781, 493.1499, 246.3336, 1882.839, 1769.842, 595.4331, 1700.126, 411.0228, 1178.521, 931.1211, 951.1855, 2000.763, 1980.301, 1448.974, 1129.828, 486.7146, 2183.21, 270.2974, 429.1842, 2528.091, 819.3282, 1095.703
5.7, 2166.088, 967.1458, 113.6409, 633.8602, 0, 773.9315, 358.198, 338.8089, 662.8261, 206.3828, 487.7246, 538.9062, 325.9225, 1873.474, 1742.892, 666.2514, 1864.537, 391.0687, 1137.171, 1015.629, 1040.346, 2272.714, 1895.148, 1376.945, 1129.734, 462.6574, 2131.83, 258.178, 525.9675, 2704.162, 811.2383, 1190.452
5.8, 2188.714, 914.7993, 218.0876, 607.802, 0, 740.9066, 343.5817, 322.8333, 635.5883, 271.9973, 574.2552, 517.1348, 443.5657, 1809.947, 1786.672, 637.8856, 1938.329, 470.5988, 1086.432, 1059.957, 1203.684, 2226.953, 1813.656, 1564.163, 1148.9, 439.7893, 2133.23, 246.602, 500.2209, 2589.556, 776.0555, 1307.149
5.9, 2155.971, 865.286, 245.7449, 593.7834, 0, 807.7885, 329.5619, 413.2788, 735.6837, 260.7256, 616.7113, 496.243, 426.8674, 1778.838, 1946.239, 629.9266, 1849.587, 459.2785, 1073.873, 1202.168, 1486.086, 2289.527, 2001.595, 1581.142, 1098.974, 418.0516, 2093.345, 235.545, 475.7346, 2642.49, 742.3986, 1244.721
6, 2145.089, 850.5886, 235.1405, 659.1775, 0, 773.3188, 316.1141, 393.7918, 732.7724, 249.921, 627.4303, 519.5736, 408.5891, 1702.912, 2352.606, 658.3524, 1873.549, 476.6945, 1100.955, 1283.375, 1419.764, 2307.569, 1915.527, 1573.739, 1189.007, 397.3882, 2248.385, 224.9838, 493.7527, 2624.558, 861.0364, 1226.904
6.1, 2145.878, 808.968, 224.9936, 632.0785, 0, 829.9208, 303.2151, 461.2964, 702.6602, 239.5641, 595.1793, 519.4568, 391.0933, 1763.356, 2383.938, 630.3229, 1787.772, 453.5523, 1071.84, 1300.321, 1356.403, 2293.23, 1833.159, 1578.143, 1137.338, 377.7463, 2235.85, 214.8961, 469.583, 2616.469, 823.6939, 1168.309
6.2, 2158.098, 926.5901, 215.2845, 606.0936, 0, 794.5067, 290.8424, 439.5453, 762.6569, 297.6383, 601.6051, 601.5701, 472.2131, 1836.344, 2283.121, 731.6959, 1851.529, 431.5335, 1018.408, 1264.125, 1295.869, 2356.202, 1782.46, 1703.313, 1087.914, 359.0751, 2142.667, 205.2608, 488.6162, 2542.162, 787.9709, 1144.704
6.3, 2177.674, 991.6299, 362.4318, 616.6614, 0, 760.6039, 278.9746, 570.4986, 843.7595, 285.304, 570.6815, 577.2672, 468.2771, 1857.774, 2383.932, 700.5438, 1789.203, 505.663, 1046.446, 1472.104, 1428.125, 2291.457, 1926.379, 1618.641, 1250.849, 341.3269, 2118.519, 196.0574, 464.6979, 2732.953, 846.6525, 1281.229
6.4, 2084.718, 937.9582, 447.6971, 672.736, 0, 751.8345, 267.591, 543.5983, 1087.729, 273.4809, 541.3475, 623.2802, 584.1756, 1856.475, 2343.1, 946.6667, 1730.794, 486.7715, 1087.533, 1455.958, 1632.607, 2196.341, 2021.557, 1638.385, 1289.557, 324.4559, 2230.984, 187.2668, 441.9505, 2699.194, 809.9337, 1475.725
6.5, 2120.068, 1233.251, 525.814, 645.0795, 0, 806.9557, 256.672, 517.9665, 1046.295, 262.1477, 669.191, 598.1002, 614.3468, 1798.048, 2331.643, 906.3622, 1775.8, 674.9227, 1033.319, 1475.349, 1559.747, 2355.958, 1978.553, 1724.423, 1294.783, 308.4188, 2164.078, 178.8702, 526.4286, 2641.156, 860.2766, 1552.824
6.6, 2116.723, 1352.596, 503.1239, 618.5601, 0, 896.4572, 246.1985, 493.5432, 1003.299, 251.2842, 702.0959, 671.5052, 588.0406, 1836.618, 2300.54, 876.5928, 1700.699, 742.1902, 981.8069, 1491.98, 1519.412, 2258.165, 2123.258, 1638.701, 1275.819, 293.1743, 2073.886, 170.8502, 517.0444, 2985.644, 822.967, 1478.663
6.7, 2115.363, 1451.713, 522.8652, 593.1309, 0, 858.2039, 236.1523, 508.3318, 1160.065, 240.8708, 747.6339, 692.2753, 667.0461, 1873.264, 2283.791, 911.5522, 1631.893, 730.4899, 1029.385, 1523.97, 1451.603, 2164.43, 2176.087, 1629.848, 1386.164, 278.6834, 2109.489, 163.1897, 491.7346, 2859.108, 818.4414, 1568.018
6.8, 2025.068, 1480.699, 569.565, 568.7471, 0, 821.5829, 336.3376, 562.3419, 1112.393, 230.8891, 709.2042, 664.308, 638.4833, 1856.503, 2387.604, 872.7427, 1608.198, 695.0266, 1080.71, 1588.473, 1492.051, 2151.854, 2082.515, 1548.827, 1325.927, 264.9087, 2123.54, 155.8727, 519.2278, 2877.675, 984.8307, 1685.014
6.9, 1961.757, 1556.099, 544.9869, 545.3657, 0, 786.5247, 322.6134, 562.1921, 1264.581, 221.3209, 672.7498, 664.6609, 745.3993, 1979.334, 2566.445, 835.5855, 1734.648, 661.2849, 1097.201, 1623.448, 1425.464, 2266.513, 2084.625, 1740.869, 1345.481, 251.8149, 2251.355, 148.8838, 639.3298, 2911.011, 942.1194, 1631.15
7, 1998.822, 1642.748, 765.0588, 522.9456, 0, 854.3116, 374.3037, 634.3652, 1552.869, 212.1492, 638.1694, 697.1691, 768.3727, 2013.099, 2640.241, 985.6893, 1694.679, 784.4646, 1131.988, 1792.667, 1506.869, 2172.432, 2292.634, 1740.545, 1386.49, 239.3683, 2580.842, 142.2083, 674.4596, 2964.544, 901.2603, 1855.07
7.1, 2057.913, 1553.834, 732.0446, 561.4998, 0, 817.8568, 407.3633, 604.4535, 1573.121, 205.697, 605.3663, 771.4317, 937.4637, 1960.022, 2578.169, 1017.615, 1617.092, 746.3809, 1248.116, 2189.534, 1675.776, 2082.256, 2194.051, 1729.114, 1326.239, 227.5368, 2839.58, 135.832, 733.5481, 2924.783, 862.1733, 1798.912
7.2, 2027.139, 1469.733, 700.4551, 538.4163, 0, 782.9575, 390.7409, 575.9522, 1643.729, 257.8735, 613.0216, 813.03, 897.3217, 1986.5, 2620.215, 974.2903, 1574.914, 747.3787, 1185.896, 2226.685, 1600.99, 2046.763, 2279.701, 1658.375, 1268.606, 216.2902, 2924.353, 129.7417, 697.6402, 2901.464, 861.9295, 1790.388
