 , C000, C002, C004, C005, C006, C008, C009, C011, C013, C014, C018, C019, C022, C023, C024, C025, C029, C030, C031, C033, C034, C035, C036, C037, C040, C041, C043, C045, C046, C049, C053, C054, C055, C056, C057, C058, C061, C066, C068, C069, C070, C071, C073, C074, C076, C079, C080, C082, C088, C090, C091, C092, C098, C111, C132, C141
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 46.02646, 90.25873, 0, 1.090208, 32.98151, 25.68341, 0, 0, 22.81743, 0, 107.0675, 0, 0, 143.0957, 0, 0, 0, 68.10132, 73.65186, 0, 146.449, 0, 0, 171.9189, 84.58691, 123.8528, 104.77, 0, 160.0988, 102.2801, 27.82458, 23.56104, 0, 0, 0, 23.62842, 173.9019, 90.3494, 0, 26.98022, 207.1057, 0, 156.9407, 158.999, 0, 141.3657, 19.40869, 0, 258.5668, 79.58057, 68.06763, 267.0632
0.2, 6.103516e-05, 54.13135, 0, 0, 134.9225, 85.96393, 0, 25.74573, 31.54572, 24.43896, 0, 0, 21.83055, 0, 101.6475, 64.6875, 0, 137.1404, 0, 0, 0, 107.814, 94.83514, 0, 140.2994, 17.32303, 0, 164.7189, 80.68286, 176.9321, 100.4474, 42.72339, 201.4339, 97.74963, 26.68396, 132.1117, 124.0913, 0, -3.051758e-05, 44.88931, 220.978, 86.38049, 0, 54.60193, 197.816, 0, 221.0292, 151.9301, 3.051758e-05, 134.7756, 140.2664, 0, 247.4357, 75.91254, 272.8474, 334.7107
0.3, 3.051758e-05, 105.3966, 0, 0, 129.2125, 148.9968, 6.103516e-05, 64.08141, 182.9087, 42.97372, 14.54178, -3.051758e-05, 80.92948, 0, 96.50185, 357.5802, 0, 301.9761, 0, 0, 0, 165.653, 90.62146, 0, 134.4081, 16.43282, 0, 157.8206, 156.92, 169.0099, 96.3031, 185.4684, 373.4132, 93.41989, 110.8796, 256.0568, 364.5906, 0, -3.051758e-05, 42.88394, 245.9222, 82.58594, 0, 189.4683, 227.6884, 0, 211.3356, 262.0928, 0, 156.6143, 134.2771, 0, 309.4292, 72.41357, 462.6372, 427.7581
0.4, 24.00095, 100.8047, 0, 16.88706, 123.7441, 141.907, 0, 116.7867, 174.9462, 40.89154, 13.83365, 0, 113.1636, 0, 91.61668, 417.0593, 81.29773, 312.416, 0, -1.525879e-05, 0, 338.1752, 86.59503, 0, 236.8672, 53.32637, 0, 151.2111, 213.6525, 161.4423, 92.32983, 205.2881, 474.699, 154.0949, 106.3344, 346.9354, 577.0541, 0, -1.525879e-05, 40.96817, 235.1666, 154.0231, 0, 181.5408, 301.2969, 0, 366.8204, 289.8905, 3.051758e-05, 324.4534, 128.5437, 0, 419.2314, 69.07593, 498.8398, 577.7236
0.5, 22.9473, 96.41272, 50.00415, 16.18956, 164.9034, 135.1545, 0, 111.8612, 178.5075, 88.71277, 13.16003, 3.051758e-05, 108.2692, 0, 198.8419, 398.9989, 77.77136, 325.4946, 0, -3.051758e-05, 0, 384.001, 166.0142, 0, 226.9208, 50.58604, 0, 144.8784, 273.0852, 254.4323, 88.52045, 196.6287, 511.6678, 147.2693, 154.835, 543.7751, 749.1293, 0, -1.525879e-05, 91.93723, 350.926, 147.2571, 61.28625, 202.1199, 425.3643, 105.2555, 480.3878, 324.8756, 3.051758e-05, 309.3281, 354.199, 0, 401.184, 114.6677, 621.3816, 627.1208
0.6, 57.68939, 186.6735, 47.86215, 15.52086, 157.9246, 128.7234, 0, 107.1434, 203.1912, 84.4144, 55.66339, 0, 103.5864, -3.051758e-05, 188.7761, 616.7722, 74.39801, 393.6052, 0, -1.525879e-05, 0, 368.3169, 158.6379, 0, 257.636, 176.3445, 0, 138.8109, 373.8095, 263.7603, 157.5881, 249.8627, 490.6707, 160.5685, 337.576, 588.5818, 745.6161, 0, -3.051758e-05, 87.83005, 375.5527, 181.405, 147.7666, 224.5718, 441.025, 220.9166, 459.3197, 310.432, 0, 340.8959, 367.8251, 0, 460.0476, 109.3824, 774.0549, 670.1235
0.7, 55.1568, 178.5404, 45.8119, 14.87978, 151.241, 122.5983, 0, 102.6246, 249.97, 80.32433, 52.95282, 0, 99.1062, 0, 179.2198, 670.0378, 71.17096, 414.7012, 0, 0, 0, 534.6372, 224.1729, 0, 333.9507, 167.2825, 0, 203.1963, 381.1531, 421.1887, 241.4793, 239.323, 470.5354, 153.4562, 343.3785, 627.417, 765.7494, 0, 125.7476, 97.45801, 474.9199, 173.4362, 272.3693, 315.8455, 421.2429, 252.1614, 604.818, 424.3123, 3.051758e-05, 486.9938, 352.1193, 0, 562.2148, 172.8365, 789.0742, 761.3999
0.8, 52.73538, 170.7617, 43.84948, 14.26518, 320.3696, 116.7646, 3.051758e-05, 124.4179, 239.0882, 76.43242, 50.37421, 0, 94.81975, 3.051758e-05, 234.6024, 694.6379, 68.08386, 577.7305, 0, 0, 0, 541.9287, 214.2125, 0, 368.9171, 199.5439, 0, 220.4311, 363.5612, 402.3297, 249.5829, 432.0099, 451.2263, 146.6589, 407.1678, 752.085, 828.7185, 0, 119.4118, 115.1986, 580.4254, 165.8174, 260.8074, 401.5111, 494.9647, 431.428, 578.2927, 491.6959, 183.3913, 559.5159, 447.0823, 0, 605.1914, 309.4482, 756.1404, 920.8413
0.9, 50.42029, 163.3217, 41.97112, 13.67597, 306.8113, 111.2086, 3.051758e-05, 132.6995, 228.6802, 72.72908, 47.92117, -3.051758e-05, 90.71869, 0, 222.7263, 770.0116, 65.13068, 710.1974, 0, 0, 0, 599.5697, 204.6946, 0, 353.4258, 189.2897, 0, 211.1995, 647.3721, 384.315, 261.1416, 620.8772, 547.9147, 140.1628, 481.1084, 871.6726, 839.0637, 3.051758e-05, 181.6509, 110.0523, 693.0809, 206.8885, 377.5337, 491.1591, 472.7631, 480.0242, 718.0673, 525.6102, 264.0538, 547.6132, 442.0344, 0, 662.3159, 411.2945, 881.1299, 1011.085
1, 48.20682, 156.206, 40.17323, 13.1111, 315.3833, 105.9169, 137.4186, 127.1029, 280.4172, 94.82336, 82.9895, -3.051758e-05, 86.79501, -3.051758e-05, 269.4974, 833.6044, 118.5498, 701.8354, 0, 0, 0, 575.0812, 284.9916, 0, 412.9695, 179.5625, 0, 218.2826, 617.493, 429.1254, 268.1149, 594.6875, 605.2566, 259.3908, 491.1948, 1067.962, 852.2085, 184.8332, 172.4985, 193.2133, 737.4396, 385.2698, 394.3948, 512.384, 451.5574, 484.8215, 686.5753, 709.3568, 252.782, 623.7192, 589.0184, 0, 814.1995, 464.654, 922.9048, 1055.907
1.1, 46.09048, 203.0766, 38.45235, 12.56955, 373.9382, 100.877, 131.3084, 121.7423, 336.9924, 90.22893, 117.5605, -3.051758e-05, 83.04102, 36.15402, 279.2809, 922.7811, 201.497, 709.2999, 0, 0, 0, 551.5928, 293.2245, 0, 395.6284, 224.6055, 0, 270.1741, 588.993, 572.9077, 257.053, 569.6024, 612.3881, 247.9013, 724.791, 1133.152, 830.0081, 214.5832, 199.1063, 204.5491, 985.0521, 450.5298, 377.6531, 558.3093, 484.1547, 493.6406, 1023.534, 785.3005, 335.6575, 615.2419, 595.8411, 0, 917.274, 490.8012, 949.5942, 1057.54
1.2, 235.8548, 266.9881, 69.57527, 12.05038, 393.755, 217.3791, 183.1908, 185.6304, 392.4719, 85.85712, 179.9008, -3.051758e-05, 79.44941, 34.54266, 337.5718, 1032.148, 392.0872, 736.3347, 0, 0, 0, 571.2285, 280.1961, 0, 413.166, 242.2436, 0, 258.8593, 684.7864, 671.9435, 246.4475, 637.2181, 587.2578, 379.4053, 743.1321, 1298.793, 900.1105, 294.9564, 296.0851, 217.1241, 1267.742, 537.7895, 503.2192, 674.3989, 462.438, 514.9946, 994.969, 766.0541, 321.329, 586.5607, 796.0663, 194.8324, 967.8167, 610.1763, 1113.842, 1245.605
1.3, 225.5006, 255.3558, 148.9913, 11.55264, 377.0909, 207.0354, 286.7475, 177.8014, 474.6457, 196.3309, 263.9698, -6.103516e-05, 76.01314, 33.00314, 496.5131, 987.452, 505.5777, 705.6893, 0, 7.629395e-06, 0, 632.5181, 362.2502, 0, 509.978, 229.7952, 0, 248.0182, 882.7076, 745.9191, 306.4102, 610.3391, 661.6979, 397.388, 712.6691, 1396.308, 983.7628, 423.757, 281.167, 372.6137, 1332.975, 549.1, 481.858, 680.6302, 509.7582, 492.4175, 1278.085, 888.5818, 377.097, 577.5381, 846.0142, 210.0445, 1075.222, 619.9073, 1131.246, 1462.405
1.4, 215.601, 398.3784, 142.609, 11.07547, 361.1321, 197.1839, 295.1439, 170.3026, 544.9342, 225.3619, 251.1155, -4.577637e-05, 72.72549, 31.5322, 471.3784, 1013.417, 624.5438, 676.3196, 0, 7.629395e-06, 0, 606.6838, 454.3981, 0, 646.2588, 217.9865, 0, 237.6313, 1021.606, 775.0833, 374.3544, 584.5939, 634.5442, 379.7859, 850.5081, 1562.442, 938.3436, 596.91, 267.0005, 469.1355, 1328.205, 673.2528, 514.1649, 721.3132, 569.3999, 470.8301, 1222.032, 864.0015, 425.2518, 663.2311, 948.8679, 471.0833, 1193.413, 838.1311, 1136.068, 1554.275
1.5, 206.136, 381.0215, 136.5002, 10.61801, 345.8487, 277.5263, 282.0207, 163.1201, 674.4773, 214.4426, 278.6678, -6.103516e-05, 69.58003, 30.12683, 520.0735, 1027.985, 597.4539, 648.1721, 0, 0, 0, 754.8589, 434.2084, 0, 619.1215, 368.4104, 0, 227.6794, 974.4547, 905.1013, 407.0551, 690.3608, 608.5048, 362.9635, 926.3012, 1496.474, 1013.611, 752.167, 353.2731, 448.1775, 1465.662, 643.6779, 492.3389, 858.0078, 656.2489, 606.5068, 1397.283, 852.0072, 477.2556, 632.3128, 908.3521, 637.9437, 1142.037, 818.4065, 1208.397, 1695.184
1.6, 197.0865, 364.4208, 130.653, 10.17944, 392.4611, 264.3206, 269.481, 156.2405, 659.5349, 204.0523, 313.0884, -6.103516e-05, 66.57062, 28.78412, 493.7462, 1141.148, 742.7062, 621.1959, 0, 0, 0, 816.6973, 479.302, 0, 727.6714, 349.4785, 0, 242.5096, 1112.95, 950.834, 390.2607, 661.2401, 583.5339, 363.0112, 888.3295, 1668.847, 966.8141, 720.6121, 335.4736, 512.6528, 1704.062, 804.3843, 471.4396, 822.1082, 714.67, 579.9178, 1411.359, 955.7314, 456.8827, 602.8359, 869.5662, 755.8551, 1224.138, 818.6512, 1313.219, 1846.087
1.7, 188.4343, 348.5435, 142.8992, 9.758985, 392.1948, 251.7433, 480.1328, 179.644, 743.8658, 194.1655, 297.8422, -4.577637e-05, 63.69136, 73.54817, 611.8445, 1121.983, 786.9697, 673.7407, 0, 7.629395e-06, 0, 783.3406, 519.2926, 0, 802.2277, 331.5195, 0, 244.3283, 1061.583, 999.6884, 518.3484, 633.3478, 670.3939, 346.9318, 900.9958, 1635.672, 1037.489, 858.6372, 318.571, 558.9222, 1854.784, 769.0489, 451.4273, 879.3397, 682.6136, 554.4944, 1523.592, 1024.616, 604.3011, 703.8177, 1013.797, 838.201, 1273.989, 921.2819, 1392.068, 1833.862
1.8, 180.1619, 418.8646, 199.7492, 9.355897, 450.2773, 288.3712, 520.081, 183.5727, 711.4836, 184.7577, 283.3384, -4.577637e-05, 60.93664, 70.2702, 580.8715, 1143.682, 752.8345, 645.7006, 0, 7.629395e-06, 0, 866.894, 603.0576, 0, 768.541, 364.7293, 0, 234.0959, 1221.67, 982.4885, 496.9624, 606.632, 673.3582, 372.3572, 994.0043, 1789.969, 989.5889, 822.6157, 362.0863, 627.8268, 1863.495, 735.2657, 509.943, 912.8181, 651.9951, 530.1857, 1621.471, 979.063, 578.505, 671.0072, 1018.703, 823.922, 1382.156, 905.7634, 1395.348, 1847.594
1.9, 172.2527, 495.9285, 191.1926, 8.969459, 431.2211, 274.6495, 567.5809, 175.8305, 680.5111, 261.2652, 282.7145, -4.577637e-05, 58.30106, 86.86688, 604.5812, 1195.926, 753.7083, 752.3882, 0, 7.629395e-06, 0, 831.487, 614.1079, 0, 736.269, 368.6049, 0, 292.1745, 1275.723, 1014.036, 476.4586, 645.8768, 645.726, 508.0177, 975.403, 1762.553, 1040.222, 907.3137, 357.7671, 617.8751, 1873.188, 822.212, 513.7553, 906.249, 622.7501, 506.9426, 1662.601, 1017.719, 553.8101, 639.7264, 1005.29, 1011.472, 1322.656, 942.6816, 1434.966, 2065.311
2, 164.6906, 474.3215, 183.0026, 8.598982, 412.9715, 261.5807, 542.3442, 168.4149, 650.8868, 248.6062, 317.6664, -4.577637e-05, 55.77948, 82.9953, 708.5162, 1228.291, 746.9139, 849.0527, 0, 7.629395e-06, 0, 945.3619, 625.114, 0, 862.035, 380.6105, 0, 412.3632, 1387.916, 1160.19, 543.2939, 666.3094, 751.9821, 485.5153, 1147.426, 1877.645, 1052.284, 924.6863, 375.9182, 667.4539, 1906.392, 881.8397, 684.8927, 868.3309, 703.2245, 484.7184, 1849.381, 972.4724, 530.1693, 609.9038, 1003.026, 1046.937, 1427.257, 961.5923, 1438.65, 2218.549
2.1, 157.4606, 480.349, 249.9589, 8.243808, 395.4942, 249.1337, 584.6888, 161.3119, 622.5522, 236.5607, 302.1972, -4.577637e-05, 53.36695, 131.4087, 672.6494, 1228.99, 714.5161, 906.1064, 0, 1.525879e-05, 55.49839, 960.7101, 597.3391, 0, 919.2825, 392.5169, 0, 395.0935, 1323.857, 1108.242, 520.8787, 638.2032, 798.0978, 506.1918, 1100.39, 2043.38, 1003.702, 1180.084, 416.1895, 691.0293, 2015.256, 994.9305, 725.2814, 831.9993, 775.0967, 463.4686, 1768.273, 929.2374, 678.5814, 712.3314, 1119.133, 1190.143, 1407.089, 1057.484, 1535.474, 2126.081
2.2, 150.548, 459.4207, 324.6643, 7.903304, 431.1194, 237.2791, 558.6915, 154.5086, 595.451, 225.0987, 287.4814, -3.051758e-05, 51.05878, 125.5519, 638.5983, 1175.77, 867.3951, 932.7673, 0, 1.525879e-05, 53.06008, 1037.693, 605.3011, 0, 880.6805, 409.4663, 0, 496.4359, 1262.755, 1135.944, 504.8029, 611.2826, 765.3467, 483.7703, 1055.282, 1965.623, 1065.997, 1328.328, 410.4582, 660.1586, 2112.313, 976.4373, 694.4936, 933.0685, 1094.294, 443.1503, 2004.998, 887.9244, 649.6144, 679.1241, 1179.736, 1203.614, 1346.516, 1022.687, 1501.13, 2324.292
2.3, 143.9389, 533.1587, 310.7568, 7.576864, 412.874, 372.6416, 533.85, 147.9922, 569.5297, 214.1921, 273.4821, -3.051758e-05, 48.85043, 148.2162, 606.2709, 1124.854, 829.7712, 893.9469, 0, 1.525879e-05, 50.7289, 995.3098, 690.3438, 0, 843.6996, 480.3234, 0, 583.1656, 1204.474, 1085.081, 669.0026, 668.3446, 803.6426, 476.3187, 1103.317, 2091.675, 1118.633, 1272.602, 453.9045, 835.4861, 2111.635, 1074.725, 665.0128, 1007.444, 1045.21, 423.7228, 2067.748, 848.4482, 621.8839, 647.4648, 1294.951, 1154.324, 1288.549, 1019.793, 1517.329, 2333.283
2.4, 137.6199, 509.9296, 297.4451, 7.263907, 395.4009, 394.6853, 510.1131, 156.204, 544.7368, 203.814, 260.1646, -4.577637e-05, 46.73759, 228.7206, 575.58, 1076.143, 856.7804, 1037.791, 0, 7.629395e-06, 48.50013, 967.8066, 659.6707, 0, 925.6398, 455.6405, 0, 558.7428, 1148.882, 1036.495, 689.2692, 788.149, 770.6639, 570.7491, 1200.919, 2149.737, 1113.789, 1219.214, 478.9871, 876.7283, 2096.724, 1027.514, 636.7835, 990.632, 1232.61, 405.1469, 1977.063, 888.1824, 595.3372, 661.2784, 1334.212, 1207.343, 1345.201, 1025.591, 1674.255, 2433.866
2.5, 131.5783, 590.8474, 284.7036, 6.963877, 378.6671, 375.9048, 691.8046, 149.6161, 521.0232, 193.9387, 279.9482, -3.051758e-05, 68.9201, 229.9114, 546.4427, 1184.784, 819.6169, 1077.285, 0, 7.629395e-06, 46.36929, 943.7678, 630.3604, 0, 886.7709, 432.226, 0, 660.087, 1345.35, 1113.622, 660.8313, 931.7948, 739.0387, 545.4681, 1341.426, 2252.016, 1147.841, 1288.77, 594.1502, 837.5618, 2005.021, 1011.162, 609.7526, 1083.81, 1238.63, 387.3855, 2049.013, 931.2301, 569.9236, 788.2548, 1305.625, 1240.682, 1429.926, 1141.817, 1762.9, 2332.423
2.6, 125.8019, 565.1049, 272.5079, 33.34663, 362.6416, 358.0179, 700.1968, 143.306, 498.3418, 184.5419, 266.3157, -3.051758e-05, 65.93923, 219.6645, 591.7825, 1165.476, 784.0656, 1087.504, 0, 3.814697e-06, 44.33207, 1101.376, 602.3523, 0, 849.5342, 467.6344, 0, 632.4426, 1444.867, 1063.759, 710.8643, 892.4901, 776.9714, 521.3069, 1361.19, 2317.962, 1259.981, 1234.703, 583.1555, 873.5862, 2092.671, 1036.536, 642.0963, 1038.463, 1279.757, 370.4026, 2008.635, 919.2462, 684.858, 751.5081, 1301.447, 1189.874, 1368.369, 1146.345, 1877, 2341.672
2.7, 120.2791, 540.484, 260.8346, 31.96927, 549.953, 340.9821, 669.0635, 198.8022, 529.7434, 175.6004, 253.3471, -3.051758e-05, 115.6973, 209.8742, 671.618, 1314.122, 750.0562, 1042.244, 0, 0, 42.38435, 1056.392, 575.5887, 0, 813.8611, 486.1089, 0, 605.9561, 1378.18, 1134.069, 785.2997, 854.8431, 952.5586, 573.3929, 1305.391, 2302.387, 1305.572, 1182.905, 695.2734, 834.56, 2033.88, 1095.449, 720.3241, 995.0128, 1311.514, 354.1644, 2072.814, 960.752, 655.623, 753.2596, 1480.669, 1141.147, 1465.89, 1232.226, 1798.659, 2501.857
2.8, 114.9988, 748.3254, 249.6614, 30.6488, 526.6785, 335.5496, 639.3145, 190.4177, 622.778, 167.0921, 262.4988, -3.051758e-05, 110.6933, 223.4805, 637.6191, 1257.216, 717.522, 998.8668, 0, 0, 40.52221, 1101.658, 550.0143, 0, 779.686, 461.1286, 0, 580.5787, 1403.926, 1083.29, 752.8998, 818.7843, 913.469, 547.9948, 1251.88, 2263.102, 1404.879, 1133.28, 660.2424, 797.2773, 1944.926, 1124.266, 689.7469, 994.3517, 1332.073, 338.6379, 2171.447, 1060.325, 627.6361, 730.4871, 1486.639, 1094.415, 1402.784, 1175.431, 1810.032, 2446.154
2.9, 109.9503, 715.7219, 238.9668, 29.38288, 504.389, 319.5829, 632.7207, 182.3869, 595.667, 158.9961, 290.7054, -3.051758e-05, 105.9057, 213.5202, 605.3414, 1219.63, 686.3989, 957.2953, 0, -3.814697e-06, 38.74187, 1150.468, 627.1738, 0, 746.9459, 437.4321, 0, 556.2642, 1415.392, 1034.785, 833.1323, 843.6309, 941.4853, 572.5045, 1243.762, 2339.751, 1356.428, 1085.737, 626.9765, 761.6602, 2026.354, 1074.879, 744.3431, 1136.506, 1302.765, 323.7922, 2177.332, 1141.995, 662.7361, 728.2227, 1423.161, 1114.284, 1450.012, 1153.358, 1734.486, 2445.127
3, 105.1234, 684.5388, 228.7303, 51.14971, 483.0428, 304.376, 625.1936, 174.6947, 569.7362, 262.9305, 276.5491, -2.288818e-05, 101.3252, 204.0038, 574.6975, 1318.933, 769.4963, 1178.009, 0, -3.814697e-06, 37.03976, 1103.479, 599.3074, 0, 715.5806, 414.9533, 0, 693.3578, 1482.441, 1081.197, 798.7589, 878.3914, 966.5867, 629.1872, 1241.516, 2587.875, 1424.658, 1199.681, 678.9556, 727.6342, 2002.666, 1123.172, 712.7463, 1104.099, 1303.448, 309.5973, 2165.04, 1106.259, 661.7883, 694.2745, 1411.041, 1168.242, 1458.694, 1153.84, 1910.027, 2412.536
3.1, 100.5084, 654.7142, 360.8537, 49.03701, 462.6, 356.3249, 667.9966, 167.3269, 544.9343, 250.1909, 263.0822, -2.288818e-05, 96.94273, 252.3968, 621.0455, 1348.842, 736.119, 1128.982, 0, 0, 35.41242, 1208.448, 572.6791, 0, 853.0942, 393.6297, 0, 664.3201, 1414.02, 1032.786, 812.0074, 841.3391, 1059.582, 601.3177, 1280.944, 2536.339, 1383.677, 1218.558, 644.7468, 781.5107, 1915.077, 1111.456, 808.3251, 1157.907, 1285.45, 296.0247, 2197.051, 1057.076, 633.5381, 797.4863, 1402.141, 1120.4, 1486.568, 1187.299, 1894.614, 2572.911
3.2, 96.09604, 626.1892, 363.1014, 62.68881, 443.0223, 339.3697, 734.9597, 181.4969, 554.0637, 238.0686, 250.2711, -2.288818e-05, 92.74986, 241.1477, 589.6067, 1290.432, 704.1893, 1163.374, 0, 0, 33.85659, 1159.091, 640.5272, 0, 817.2716, 471.8891, 0, 636.4985, 1460.347, 1070.323, 778.5056, 837.9351, 1016.1, 574.6826, 1314.904, 2602.004, 1433.903, 1250.995, 612.2616, 861.6508, 1878.652, 1062.631, 774.0123, 1109.459, 1251.829, 283.0471, 2100.696, 1104.064, 822.121, 760.3092, 1441.014, 1290.259, 1521.023, 1212.774, 1854.886, 2665.126
3.3, 91.87737, 598.9069, 347.5474, 60.09949, 424.2731, 339.2845, 702.2806, 173.8422, 553.4932, 226.5336, 238.0839, -2.288818e-05, 88.73832, 230.4, 629.4045, 1356.143, 770.8764, 1114.956, 0, 0, 32.36911, 1111.749, 702.829, 0, 876.4397, 447.6396, 0, 609.842, 1535.097, 1046.057, 811.6042, 802.5894, 1009.39, 549.2274, 1261.002, 2570.632, 1394.82, 1198.513, 651.8082, 823.1578, 1857.99, 1105.645, 832.7614, 1100.633, 1195.679, 270.6384, 2115, 1054.979, 787.0267, 849.1355, 1379.484, 1237.421, 1455.545, 1156.875, 1894.766, 2600.035
3.4, 87.84388, 572.8133, 332.6597, 57.61713, 448.1758, 323.1401, 671.0547, 183.5292, 644.2948, 215.5575, 246.533, -2.288818e-05, 84.90029, 220.1313, 597.5425, 1297.417, 737.4391, 1187.25, 0, 0, 30.94698, 1111.112, 671.6011, 0, 893.1849, 424.6363, 0, 584.302, 1464.245, 999.2184, 778.119, 768.7347, 1027.811, 524.8996, 1209.31, 2555.831, 1464.085, 1235.041, 724.017, 786.3845, 1851.146, 1057.075, 820.8353, 1216.22, 1142.047, 258.7737, 2122.081, 1209.557, 753.4304, 966.2423, 1431.339, 1186.746, 1508.672, 1121.458, 1969.555, 2609.886
3.5, 83.98749, 584.6144, 318.4097, 55.2373, 513.4746, 307.764, 641.2172, 200.6078, 616.2472, 205.1132, 334.6901, -1.525879e-05, 81.22826, 210.3203, 591.5945, 1356.64, 705.4522, 1207.432, 0, 0, 29.58733, 1124.012, 641.7607, 0, 897.541, 402.8151, 0, 559.8315, 1396.664, 1082.154, 762.8775, 736.3081, 1021.306, 501.6494, 1159.737, 2640.317, 1396.49, 1291.6, 707.0934, 865.5269, 1899.654, 1010.64, 816.2352, 1165.333, 1253.598, 247.4292, 2095.454, 1165.213, 721.2683, 921.1982, 1419.055, 1280.265, 1551.491, 1130.775, 1887.351, 2766.82
3.6, 80.30038, 559.1434, 363.8752, 52.95576, 491.7438, 346.2135, 612.7064, 192.1472, 589.4205, 225.2477, 325.1591, -1.525879e-05, 77.71505, 200.9465, 625.1297, 1314.318, 756.4447, 1157.18, 0, 0, 28.28742, 1102.591, 699.8466, 0, 859.8521, 382.1152, 0, 536.3859, 1474.912, 1137.016, 740.178, 896.6494, 1047.683, 600.4919, 1248.255, 2528.839, 1352.564, 1321.241, 671.4669, 966.2092, 1884.237, 1040.244, 882.0719, 1116.574, 1208.771, 236.582, 2274.933, 1170.594, 690.4791, 878.254, 1358.462, 1227.836, 1501.853, 1143.101, 1847.139, 2778.911
3.7, 76.77515, 534.7823, 408.1436, 50.76847, 470.9328, 329.7394, 585.4633, 184.0433, 594.3734, 229.7956, 380.5608, -1.525879e-05, 74.35379, 191.9905, 646.4679, 1257.403, 805.0598, 1109.02, 0, 0, 27.04462, 1171.461, 743.2163, 0, 823.7457, 362.479, 0, 513.9221, 1406.838, 1124.698, 709.6396, 858.827, 1004.69, 573.8935, 1276.008, 2548.058, 1465.016, 1265.812, 699.7964, 1169.243, 1878.461, 1172.896, 860.0331, 1208.419, 1154.552, 226.2104, 2369.746, 1329.174, 661.0042, 837.3118, 1366.178, 1381.663, 1597.5, 1124.665, 1942.809, 2815.972
3.8, 73.40468, 736.4286, 449.4612, 48.67151, 451.0025, 314.0493, 559.4314, 186.9144, 701.2811, 218.6614, 362.0289, -1.525879e-05, 71.13791, 183.4337, 722.4941, 1388.506, 770.1398, 1232.075, 0, 0, 25.85642, 1240.967, 791.2012, 0, 836.145, 343.8519, 0, 492.3992, 1379.542, 1125.169, 800.2456, 822.6001, 977.5101, 548.4731, 1266.231, 2641.448, 1397.378, 1212.709, 664.5376, 1258.219, 1950.719, 1233.479, 823.5253, 1236.61, 1163.075, 216.2934, 2343.114, 1270.08, 632.7875, 798.2782, 1402.858, 1474.46, 1554.924, 1165.743, 1998.155, 2899.428
3.9, 70.18217, 752.6529, 461.9743, 46.66117, 458.2543, 299.1057, 534.5571, 223.089, 714.785, 208.0667, 344.3994, -2.288818e-05, 68.06112, 175.2582, 685.9197, 1449.027, 736.7344, 1180.798, 0, 0, 24.72042, 1190.281, 822.3284, 0, 801.0341, 393.251, 0, 471.7776, 1461.702, 1074.789, 828.8675, 904.0673, 982.0149, 524.1788, 1311.006, 2705.38, 1421.824, 1161.833, 687.8588, 1289.392, 1934.598, 1269.99, 881.7937, 1196.646, 1110.905, 206.8112, 2346.055, 1213.614, 605.7753, 761.0643, 1456.381, 1414.079, 1487.986, 1207.815, 1972.259, 2852.625
4, 67.10113, 768.455, 442.1849, 44.73387, 438.8605, 356.3002, 510.7887, 213.6802, 698.2059, 212.019, 327.6285, -1.525879e-05, 65.1174, 167.4472, 651.1968, 1386.278, 704.7781, 1166.71, 0, 0, 23.63434, 1288.731, 785.7909, 0, 767.3976, 373.0426, 109.0645, 452.0196, 1516.659, 1093.525, 794.67, 915.5482, 987.2286, 529.2401, 1310.961, 2737.067, 1390.855, 1472.863, 653.2014, 1467.171, 1849.986, 1214.201, 844.3622, 1154.435, 1139.444, 197.7447, 2393.017, 1159.658, 579.9163, 725.5852, 1394.195, 1430.256, 1482.639, 1251.255, 2062.013, 2916.872
4.1, 64.15535, 868.7907, 512.0403, 42.88617, 482.971, 339.3462, 488.0772, 273.2446, 805.7966, 240.1618, 311.6742, -1.525879e-05, 62.301, 159.9842, 618.2316, 1411.694, 674.2078, 1118.153, 0, 0, 22.59597, 1236.095, 750.8768, 0, 874.1989, 353.8726, 104.3838, 433.0891, 1446.658, 1044.561, 873.0573, 909.9619, 958.9692, 526.0884, 1257.221, 2740.787, 1402.842, 1411.073, 620.2903, 1590.775, 1839.702, 1399.044, 808.5197, 1187.243, 1134.595, 189.0756, 2370.877, 1141.891, 555.161, 774.9859, 1451.962, 1461.991, 1534.444, 1193.583, 1975.95, 2867.621
