 , C000, C001, C002, C006, C008, C009, C010, C011, C013, C016, C017, C018, C020, C026, C030, C033, C034, C038, C039, C040, C045, C053, C055, C056, C063, C064, C083, C085, C086, C089, C091, C094, C095, C098, C107, C121, C125
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 56.65222, 106.4985, 10.66882, 0, 0, 0, 389.0654, 29.68497, 0, 0, 211.0219, 138.5408, 173.3977, 0, 0, 159.8454, 0, 0, 188.3857, 0, 44.18506, 129.8323, 0, 0, 132.0625, 264.75, 94.10376, 167.4475, 67.65381, 0, 81.37695, 81.57117, 0, 0, 123.1423, 0, 141.2952
0.2, 54.19055, 116.0222, 10.22034, -1.907349e-06, 0, -6.103516e-05, 371.5298, 77.70175, 3.814697e-06, 0, 202.237, 132.5693, 432.749, -0.0002441406, 0, 152.614, 31.57043, 0, 179.9346, 20.8562, 44.09125, 124.1775, 0, 54.21875, 273.0833, 485.7104, 103.0454, 511.9104, 162.8696, 136.3693, 227.219, 101.2943, 0, 216.1726, 221.2673, 183.8962, 134.832
0.3, 51.83557, 111.1263, 9.790649, 0, 0, 0, 560.0845, 74.28278, 0, 0, 193.8178, 196.7402, 414.0076, 34.87988, 0, 182.0041, 84.06921, 0, 171.8625, 19.94104, 144.4788, 284.374, 0, 51.82764, 331.5298, 662.5903, 229.0977, 677.9731, 339.5154, 129.5577, 217.2961, 141.7777, 59.00928, 337.7109, 354.521, 176.3093, 303.3894
0.4, 49.58301, 106.437, 52.01117, 0, 0, 0, 665.877, 71.01425, 3.814697e-06, 7.629395e-06, 185.7491, 341.127, 680.3035, 241.7581, 0, 173.7701, 162.734, 0, 426.5437, 59.1449, 138.6497, 354.5911, 0, 151.4014, 345.96, 736.9805, 238.1077, 738.0396, 368.443, 260.0118, 237.3643, 147.9993, 56.33716, 338.8494, 467.2275, 242.1016, 453.1235
0.5, 268.2963, 101.9456, 105.6028, 0, 0, 0, 921.812, 159.9017, 3.814697e-06, 7.629395e-06, 350.9271, 475.6992, 735.416, 231.8884, 0, 165.9088, 182.1948, 0, 491.3523, 228.7584, 135.4699, 532.3037, 0, 394.8318, 539.584, 783.7368, 335.9961, 726.0063, 453.1207, 299.1545, 527.9355, 141.7487, 53.78601, 458.9041, 756.6355, 232.1135, 432.3965
0.6, 295.783, 97.64374, 155.65, 0, 0, -6.103516e-05, 997.6985, 152.8658, 3.814697e-06, 7.629395e-06, 367.2627, 597.1345, 758.1267, 299.5068, 0, 236.8782, 373.252, 0, 469.3093, 218.7211, 130.0043, 721.7197, 0, 393.588, 515.6296, 875.0522, 441.8723, 1013.964, 490.9635, 389.0707, 504.8796, 227.04, 51.35046, 553.9758, 838.6328, 330.1459, 521.8179
0.7, 366.8777, 274.5396, 149.1063, 1.907349e-06, 0, -3.051758e-05, 1176.438, 146.1396, 3.814697e-06, 0, 351.9734, 571.3962, 996.5808, 553.4846, 0, 226.1617, 356.4555, 0, 558.875, 236.8312, 232.8659, 690.2869, 0, 514.2412, 704.8379, 1216.179, 631.6873, 1009.482, 596.9406, 413.2741, 482.8306, 278.8373, 49.02521, 799.7439, 802.3406, 470.3389, 553.3438
0.8, 350.9351, 262.9545, 190.7465, 1.907349e-06, 0, 0, 1264.984, 175.7129, 3.814697e-06, 0, 337.3207, 690.9504, 1106.449, 618.6823, 0, 215.9302, 477.4694, 0, 590.2068, 226.4397, 279.1058, 839.6282, 0, 589.4984, 673.5471, 1403.637, 604.7626, 1167.791, 571.6859, 503.5384, 609.2786, 328.3059, 46.80518, 765.2126, 906.5496, 450.9347, 749.6018
0.9, 388.9505, 251.8584, 182.7274, 0, 0, -3.051758e-05, 1387.809, 177.2138, 3.814697e-06, 0, 426.9101, 661.1685, 1188.374, 724.3403, 0, 206.1615, 531.3282, 0, 669.8287, 296.8981, 293.1877, 926.4712, 0, 605.8627, 889.5327, 1391.841, 578.9852, 1150.763, 773.8434, 478.3867, 582.67, 314.4406, 79.9715, 1031.79, 1174.7, 525.5674, 796.8308
1, 405.4078, 327.2428, 201.4806, 0, 0, 0, 1460.781, 186.1813, 3.814697e-06, 7.629395e-06, 409.1377, 632.6699, 1283.765, 841.8186, 0, 196.8347, 843.4638, 0, 683.1648, 283.8711, 299.7661, 1121.407, 0, 767.4828, 984.6202, 1499.694, 745.298, 1295.612, 810.5989, 483.906, 635.3009, 517.0629, 88.25281, 987.239, 1123.865, 715.1067, 839.5142
1.1, 387.7908, 401.8817, 193.0101, 0, 0, 0, 1536.747, 324.8781, 3.814697e-06, 31.97945, 509.8673, 687.1265, 1293.84, 807.4529, 0, 187.93, 971.3628, 0, 723.896, 271.4155, 287.6718, 1313.394, 0, 826.6823, 1042.776, 1522.859, 713.5306, 1602.393, 776.3048, 459.7349, 725.8422, 495.2256, 167.5396, 1071.124, 1464.876, 685.6045, 1029.44
1.2, 370.9393, 423.8603, 235.9142, -1.907349e-06, 0, 3.051758e-05, 1573.91, 310.583, 3.814697e-06, 30.65955, 488.6414, 665.6427, 1543.209, 774.4901, 0, 179.428, 1241.657, 0, 790.5962, 360.9076, 276.0655, 1725.189, 0, 790.2219, 1278.206, 1628.528, 683.1174, 1532.724, 984.0419, 522.457, 802.2802, 474.3105, 159.9529, 1077.921, 1653.768, 868.7977, 1017.924
1.3, 440.9301, 537.8431, 272.7385, -1.907349e-06, 0, 3.051758e-05, 1676.744, 397.9821, 3.814697e-06, 29.39413, 468.2991, 667.7297, 1534.168, 782.1724, 0, 255.5038, 1375.88, 0, 755.1289, 453.3871, 288.3541, 1887.148, 0, 922.2821, 1500.584, 1649.898, 654.0005, 1519.473, 1069.688, 496.3603, 930.7698, 625.6493, 355.6463, 1132.499, 1612.404, 832.955, 1047.522
1.4, 516.9165, 515.1473, 274.7713, 0, 0, 3.051758e-05, 1818.453, 380.4705, 3.814697e-06, 28.18095, 538.3442, 796.3901, 1598.68, 841.8141, 0, 243.9448, 1327.921, 0, 869.0148, 433.4937, 309.5815, 1980.676, 0, 1033.479, 1506.548, 1869.293, 626.1246, 1676.592, 1056.172, 522.9404, 890.1211, 614.1707, 339.5418, 1286.142, 1637.545, 916.8723, 1150.258
1.5, 494.4539, 493.4092, 263.2197, -9.536743e-07, 0, 3.051758e-05, 1765.554, 411.7386, 3.814697e-06, 27.01782, 515.9328, 769.0975, 1596.509, 807.4487, 0, 232.9087, 1551.923, 0, 959.4753, 414.4731, 297.0913, 2290.765, 0, 1195.488, 1495.21, 1861.007, 729.6866, 1794.067, 1084.332, 514.0751, 946.8556, 623.2727, 415.8049, 1230.609, 1725.061, 879.046, 1210.283
1.6, 472.9673, 472.5885, 252.1537, -9.536743e-07, 0, 0, 1966.277, 408.6885, 3.814697e-06, 25.9027, 494.4543, 797.36, 1745.027, 911.7345, 0, 309.9687, 1630.976, 0, 916.4318, 396.2872, 285.105, 2434.551, 0, 1211.624, 1558.966, 2010.268, 698.5848, 1716.065, 1096.709, 513.2722, 905.5045, 596.9498, 396.9763, 1177.474, 1979.099, 913.6882, 1257.994
1.7, 452.4145, 468.2903, 349.9098, -9.536743e-07, 0, 3.051758e-05, 1895.914, 473.8281, 3.814697e-06, 24.83362, 478.7042, 864.8717, 1726.533, 914.9918, 0, 384.3784, 1735.969, 0, 943.5846, 378.8992, 416.2649, 2462.397, 0, 1276.305, 1537.326, 1918.009, 668.8087, 1897.698, 1215.928, 487.6342, 1049.083, 655.0288, 379.0003, 1291.548, 1893.453, 975.6776, 1200.45
1.8, 451.7151, 668.8134, 335.1993, -9.536743e-07, 0, 3.051758e-05, 2107.243, 452.979, 3.814697e-06, 23.80865, 458.7756, 827.5931, 1882.388, 947.8948, 0, 366.9891, 1698.384, 0, 910.2064, 540.5374, 399.4705, 2484.466, 0, 1220.015, 1585.344, 1932.033, 833.9608, 2009.898, 1164.485, 498.6093, 1003.267, 683.3181, 361.8382, 1331.071, 1811.513, 935.4254, 1314.893
1.9, 552.9787, 640.5909, 340.6469, -9.536743e-07, 0, 3.051758e-05, 2150.941, 559.0516, 3.814697e-06, 22.82599, 465.4225, 931.5945, 1927.869, 909.1987, 0, 420.2553, 1705.696, 0, 945.1515, 555.4866, 412.126, 2451.718, 0, 1205.729, 1705.227, 2210.624, 798.4144, 1922.511, 1207.214, 586.9453, 1075.811, 654.4592, 345.4534, 1407.078, 2012.822, 1194.202, 1326.11
2, 528.949, 758.2771, 335.9721, -9.536743e-07, 0, 3.051758e-05, 2300.223, 534.4526, 3.814697e-06, 21.88389, 446.0468, 973.1127, 1844.377, 1237.451, 0, 401.2429, 1651.479, 0, 957.8326, 531.1132, 395.4985, 2566.507, 0, 1351.691, 1629.526, 2219.365, 917.4624, 1959.075, 1387.999, 557.6273, 1028.828, 745.4792, 387.3809, 1425.39, 1992.76, 1200.919, 1531.625
2.1, 505.9635, 729.1688, 375.9959, -9.536743e-07, 0, 3.051758e-05, 2425.666, 510.9361, 1.907349e-06, 20.98067, 427.4777, 1021.335, 2033.206, 1205.975, 0, 383.0906, 1913.607, 0, 1097.176, 507.8094, 379.5419, 2769.274, 0, 1375.468, 1641.476, 2225.824, 878.3569, 1956.335, 1565.24, 529.7738, 1112.57, 750.3477, 369.8394, 1513.253, 2112.341, 1267.22, 1461.564
2.2, 483.9769, 698.3995, 360.1887, -9.536743e-07, 0, 3.051758e-05, 2413.195, 488.4543, 1.907349e-06, 20.11472, 409.6817, 1147.265, 2012.882, 1156.744, 0, 365.7596, 1860.135, 0, 1060.839, 545.6166, 364.2291, 2928.532, 0, 1389.646, 1662.849, 2430.037, 840.9181, 1962.461, 1918.161, 503.3115, 1261.085, 718.6579, 353.0921, 1550.677, 2231.051, 1262.966, 1394.709
2.3, 573.1863, 668.9285, 345.0461, -9.536743e-07, 0, 4.577637e-05, 2473.083, 466.9618, 1.907349e-06, 19.28452, 392.6265, 1130.485, 2096.983, 1291.328, 0, 349.2126, 1776.428, 0, 1143.144, 521.6764, 349.5341, 3007.062, 0, 1410.304, 1656.673, 2318.513, 929.1881, 2004.372, 2016.898, 478.1711, 1206.011, 748.6973, 444.0442, 1546.734, 2278.014, 1326.766, 1488.392
2.4, 566.9034, 640.7012, 378.1893, -1.907349e-06, 0, 3.051758e-05, 2590.472, 446.4149, 175.5166, 18.48858, 448.0096, 1081.758, 2188.786, 1238.613, 0, 391.8969, 1926.71, 0, 1201.926, 558.5308, 410.4858, 3099.753, 0, 1373.034, 1793.537, 2342.419, 889.5828, 2169.376, 2026.3, 454.2863, 1215.706, 782.706, 423.9368, 1579.17, 2215.863, 1306.96, 1554.962
2.5, 586.8961, 613.6649, 367.3293, -1.907349e-06, 0, 3.051758e-05, 2585.096, 426.7721, 273.6848, 17.7255, 489.8516, 1066.146, 2282.596, 1224.631, 0, 374.1674, 1898.163, 0, 1148.006, 534.0239, 393.9246, 3067.3, 0, 1312.478, 1820.272, 2395.694, 851.6655, 2106.171, 2066.473, 431.5947, 1162.613, 749.6497, 404.7399, 1510.984, 2262.949, 1481.382, 1513.226
2.6, 568.208, 587.7695, 351.8865, -9.536743e-07, 0, 3.051758e-05, 2580.546, 407.9937, 261.6898, 16.99391, 469.4589, 1114.401, 2353.54, 1266.772, 0, 357.24, 1878.208, 0, 1156.303, 510.5924, 378.0315, 3000.767, 0, 1407.173, 1739.463, 2294.747, 1017.071, 2014.599, 2057.672, 410.0365, 1234.198, 768.9561, 386.4123, 1677.865, 2334.686, 1420.267, 1594.026
2.7, 543.5165, 562.9669, 337.0929, -9.536743e-07, 0, 3.051758e-05, 2706.2, 390.0415, 250.2206, 16.29251, 484.0898, 1066.367, 2338.273, 1348.678, 0, 341.0784, 1841.472, 0, 1104.43, 488.189, 428.2709, 3164.97, 0, 1369.353, 1662.241, 2417.152, 973.7195, 2108.151, 2162.509, 389.5551, 1180.298, 903.6898, 368.9146, 1757.212, 2308.06, 1424.838, 1521.111
2.8, 519.898, 539.2109, 327.76, -9.536743e-07, 0, 3.051758e-05, 2650.018, 372.8792, 239.2541, 15.62007, 494.9303, 1155.404, 2334.714, 1293.621, 0, 325.648, 1868.097, 0, 1197.783, 466.7686, 410.9921, 3157.729, 0, 1426.532, 1820.584, 2418.725, 992.2979, 2189.869, 2127.733, 370.0968, 1205.649, 865.5239, 401.1161, 1681.34, 2335.83, 1366.055, 1532.371
2.9, 520.4332, 516.4574, 326.4143, -9.536743e-07, 0, 3.051758e-05, 2785.594, 389.7086, 228.7682, 14.97538, 474.3262, 1227.55, 2263.802, 1350.296, 0, 310.9156, 1977.651, 0, 1329.117, 446.2881, 394.4105, 3167.929, 0, 1506.643, 1739.761, 2417.604, 950.0024, 2094.658, 2037.715, 486.0833, 1164.514, 858.8708, 396.8129, 1747.083, 2258.575, 1348.138, 1502.911
3, 582.0818, 494.664, 336.9218, 0, 0, 3.051758e-05, 2660.043, 467.7977, 218.7419, 14.35729, 577.1186, 1218.368, 2466.805, 1295.172, 0, 409.1287, 1888.656, 0, 1269.491, 438.3834, 378.4978, 3162.156, 0, 1478.054, 1743.627, 2619.394, 976.3174, 2236.456, 2054.714, 461.8034, 1181.803, 920.0386, 378.8443, 1753.865, 2471.712, 1461.234, 1434.164
3.1, 556.7874, 473.7902, 322.7573, -4.768372e-07, 0, 1.525879e-05, 2832.377, 447.2141, 209.155, 13.76472, 553.093, 1165.852, 2359.973, 1347.366, 0, 390.6197, 2033.737, 0, 1281.121, 547.6942, 363.2271, 3140.521, 0, 1519.813, 1892.651, 2499.18, 934.7032, 2263.539, 2073.345, 438.7363, 1130.192, 943.3849, 382.7443, 1678.136, 2393.338, 1441.736, 1507.743
3.2, 624.3749, 453.7972, 309.1883, 0, 0, 3.051758e-05, 2879.587, 460.4305, 199.9882, 13.1966, 530.0675, 1115.601, 2546.198, 1292.363, 0, 372.948, 1942.218, 0, 1223.648, 523.6628, 358.6681, 3154.254, 0, 1452.783, 2022.354, 2685.063, 925.6863, 2323.533, 2071.531, 416.8214, 1107.216, 903.5425, 690.95, 1809.599, 2309.96, 1573.252, 1484.385
3.3, 597.2426, 434.6479, 296.1898, 0, 0, 3.051758e-05, 2873.102, 456.8603, 191.2233, 12.65193, 508.0006, 1336.256, 2449.594, 1283.519, 0, 356.0759, 1996.13, 0, 1200.811, 500.6859, 344.1974, 3126.739, 0, 1454.568, 1932.574, 2651.247, 940.7743, 2434.054, 2023.643, 396.0011, 1058.862, 889.3121, 665.4851, 1731.464, 2481.757, 1606.306, 1618.856
3.4, 571.2894, 416.3067, 300.1407, 0, 0, 3.051758e-05, 2966.858, 450.114, 182.8424, 12.12975, 486.8524, 1310.761, 2495.095, 1231.121, 0, 339.9669, 1983.578, 0, 1197.168, 601.7095, 330.3107, 3165.623, 0, 1444.937, 1899.502, 2533.67, 900.675, 2489.758, 2145.852, 376.2208, 1174.927, 877.9902, 722.5365, 1656.703, 2639.925, 1579.962, 1574.485
3.5, 587.5419, 398.7395, 287.5226, 0, 0, 3.051758e-05, 2987.774, 503.2484, 303.7275, 11.62911, 466.5846, 1393.743, 2425.019, 1289.667, 0, 324.5868, 1894.316, 0, 1193.162, 653.7295, 316.9842, 3217.184, 0, 1463.004, 2008.377, 2641.111, 862.285, 2528.543, 2072.07, 357.4285, 1123.615, 930.0402, 689.8184, 1637.806, 2525.682, 1612.11, 1583.708
3.6, 562.0103, 383.1026, 275.4349, 0, 0, 3.051758e-05, 2938.373, 481.1049, 389.2899, 11.14914, 447.1605, 1472.664, 2416.908, 1253.947, 0, 309.9024, 1809.071, 0, 1341.602, 640.6147, 304.1953, 3152.344, 0, 1415.341, 1959.941, 2685.157, 984.2742, 2523.397, 2077.393, 339.575, 1074.545, 940.2094, 707.3499, 1777.383, 2575.323, 1683.688, 1559.466
3.7, 537.5881, 366.9365, 398.2904, 0, 0, 3.814697e-05, 3103.875, 459.9358, 428.939, 10.68898, 440.1086, 1409.188, 2517.734, 1202.757, 0, 295.8824, 1759.925, 0, 1296.781, 612.5063, 383.8181, 3291.893, 0, 1460.811, 1872.931, 2674.752, 1016.601, 2666.287, 2094.628, 451.1778, 1139.953, 940.524, 675.3194, 1771.477, 2463.875, 1614.226, 1529.884
3.8, 514.2272, 351.4525, 381.5459, 0, 0, 3.814697e-05, 3135.33, 439.698, 410.1397, 10.24781, 421.7868, 1348.448, 2408.696, 1153.657, 0, 417.702, 1754.036, 0, 1270.913, 585.6312, 368.3328, 3317.174, 0, 1528.679, 1884.264, 2811.118, 1141.684, 2783.256, 2107.829, 428.6414, 1104.181, 900.8025, 677.4915, 1897.417, 2597.782, 1768.19, 1614.185
3.9, 491.8813, 336.6219, 365.5054, 4.768372e-07, 0, 3.814697e-05, 3091.54, 420.3508, 392.1643, 9.824848, 404.2277, 1543.022, 2543.629, 1427.656, 0, 398.8051, 1920.207, 0, 1300.708, 578.9642, 433.7804, 3266.204, 0, 1581.081, 1868.622, 2803.761, 1093.021, 2725.723, 2068.984, 407.2307, 1084.096, 1085.512, 723.1544, 1932.029, 2551.365, 1736.173, 1540.348
4, 530.3414, 325.7809, 350.1393, 4.768372e-07, 0, 3.051758e-05, 3119.387, 401.8549, 374.9767, 9.419342, 445.7084, 1476.513, 2618.565, 1369.375, 0, 380.7631, 1833.797, 0, 1242.356, 553.5608, 416.2793, 3266.414, 0, 1511.349, 2219.026, 2791, 1238.142, 2748.172, 2006.35, 519.8151, 1157.745, 1074.953, 725.731, 1938.659, 2541.615, 1664.546, 1589.971
4.1, 507.2954, 312.0337, 340.2352, 4.768372e-07, 0, 3.051758e-05, 3159.756, 392.267, 382.1757, 9.030575, 427.1534, 1448.731, 2564.131, 1355.113, 0, 413.7977, 2024.592, 0, 1293.783, 529.272, 399.4843, 3307.531, 0, 1551.585, 2142.216, 2834.877, 1185.368, 2743.953, 1999.994, 493.8502, 1107.184, 1029.554, 692.8681, 1854.952, 2534.859, 1765.859, 1517.242
4.2, 553.201, 298.8665, 325.9315, 0, 0, 3.051758e-05, 3066.669, 375.0068, 365.4259, 8.657852, 409.3708, 1424.944, 2576.092, 1474.602, 0, 418.1006, 2058.226, 0, 1235.742, 506.049, 466.0925, 3251.829, 0, 1483.153, 2047.114, 2704.773, 1182.991, 2782.188, 2041.709, 469.1824, 1207.836, 1022.767, 661.4934, 1774.859, 2546.604, 1693.007, 1742.417
4.3, 529.1616, 286.2549, 323.9343, 0, 0, 3.051758e-05, 3172.277, 358.506, 419.3041, 8.300514, 458.6511, 1502.218, 2671.205, 1414.404, 0, 439.2949, 1965.606, 0, 1281.763, 483.845, 447.2877, 3218.905, 0, 1505.979, 1993.273, 2752.031, 1132.568, 2774.807, 2147.977, 445.7466, 1155.088, 979.5719, 631.5394, 1784.791, 2607.646, 1688.125, 1662.714
4.4, 506.1669, 274.1756, 365.0576, 0, 0, 3.051758e-05, 3136.388, 342.7314, 400.927, 7.957926, 439.5573, 1437.468, 2555.521, 1356.664, 0, 465.5078, 1896.836, 0, 1224.261, 550.8135, 439.4962, 3199.583, 0, 1606.966, 1971.548, 2674.108, 1142.604, 2765.428, 2057.102, 423.4815, 1142.42, 938.2012, 602.9418, 1857.354, 2577.495, 1618.481, 1586.657
4.5, 484.1713, 262.606, 390.9202, 0, 0, 3.051758e-05, 3344.309, 327.6508, 383.3554, 7.629477, 421.2584, 1375.509, 2613.871, 1397.818, 0, 444.4482, 2001.879, 0, 1268.797, 636.1253, 421.7645, 3177.218, 0, 1551.201, 1926.018, 2758.207, 1093.902, 2787.371, 2048.409, 402.3286, 1092.528, 958.1096, 575.6392, 1886.962, 2465.953, 1777.497, 1514.08
4.6, 521.7534, 251.5245, 383.8633, 0, 0, 3.051758e-05, 3193.576, 331.5145, 366.5539, 7.314581, 403.7212, 1447.598, 2573.599, 1340.754, 0, 510.5276, 2061.58, 0, 1211.876, 608.2138, 404.7482, 3135.648, 0, 1626.884, 2022.801, 2789.464, 1115.855, 2915.249, 2046.791, 382.2322, 1044.816, 979.2375, 549.5729, 1854.756, 2503.949, 1704.165, 1657.104
4.7, 626.0381, 240.9107, 367.7253, -4.768372e-07, 0, 2.288818e-05, 3182.403, 452.7406, 350.4888, 7.012684, 465.187, 1385.202, 2490.821, 1438.147, 0, 487.4312, 1996.399, 0, 1295.959, 652.6271, 388.4184, 3073.326, 0, 1591.115, 1933.001, 2730.976, 1068.293, 2930.573, 2037.05, 363.1396, 1261.807, 937.881, 615.7098, 1914.784, 2616.194, 1688.809, 1581.303
4.8, 598.8336, 230.7448, 378.7234, 184.7517, 0, 2.288818e-05, 3315.602, 432.8195, 428.6889, 6.723248, 445.8211, 1433.769, 2600.483, 1562.338, 0, 504.6564, 2103.472, 0, 1237.82, 690.4456, 372.7475, 3193.224, 0, 1614.226, 1938.843, 2652.443, 1085.727, 2803.157, 1978.822, 345.0008, 1206.701, 1015.926, 587.829, 1832.108, 2619.959, 1917.3, 1667.379
4.9, 572.8113, 221.0079, 362.8016, 177.1882, 0, 1.525879e-05, 3251.729, 447.2187, 409.9006, 6.445757, 427.2615, 1371.97, 2712.376, 1548.118, 0, 749.5637, 2008.816, 0, 1330.724, 765.2782, 357.7088, 3291.876, 0, 1543.032, 1960.582, 2719.88, 1157.545, 2928.315, 1990.824, 327.7679, 1222.325, 1160.897, 619.3008, 1805.093, 2600.591, 2061.392, 1789.451
5, 644.1088, 211.6818, 347.5491, 169.9344, 0, 1.525879e-05, 3287.938, 427.5405, 391.9356, 6.17972, 409.4744, 1332.223, 2700.935, 1559.538, 0, 839.264, 2012.595, 0, 1304.404, 731.6998, 343.2769, 3207.596, 0, 1544.682, 2069.349, 2610.516, 1108.206, 2814.354, 1996.952, 311.3959, 1326.665, 1111.869, 764.3486, 1893.165, 2553.66, 1976.347, 2096.084
5.1, 631.4369, 202.7493, 364.4109, 219.3761, 0, 163.3169, 3317.218, 518.7969, 374.7581, 5.924662, 392.4279, 1469.723, 2777.85, 1614.26, 0, 879.6904, 2030.988, 0, 1322.622, 787.1921, 336.6644, 3138.112, 0, 1476.555, 2169.372, 2532.978, 1089.457, 2771.183, 2084.824, 295.8416, 1268.727, 1122.052, 729.7371, 1925.566, 2443.149, 2024.281, 2205.582
5.2, 603.9978, 194.1937, 349.0909, 210.3952, 0, 155.4718, 3298.586, 515.9022, 394.0749, 13.0834, 481.3305, 1406.373, 2657.548, 1567.006, 0, 857.3774, 1939.593, 0, 1297.953, 811.2556, 323.0815, 3123.588, 0, 1458.402, 2073.065, 2763.845, 1142.282, 2650.697, 2090.462, 281.0643, 1213.319, 1074.663, 747.8145, 1982.041, 2482.821, 2002.155, 2134.573
5.3, 577.751, 199.134, 361.9802, 230.482, 0, 148.0035, 3388.4, 602.9877, 466.5981, 12.54341, 503.6268, 1345.755, 2614.237, 1503.036, 0, 916.2576, 1852.311, 0, 1266.573, 806.6506, 387.3158, 3109.456, 0, 1528.791, 2108.861, 2726.407, 1093.594, 2862.604, 2002.02, 356.0498, 1319.28, 1029.277, 743.9557, 1914.924, 2587.749, 1943.723, 2241.265
5.4, 638.5875, 247.2208, 460.628, 221.0464, 0, 140.894, 3308.998, 576.4556, 446.1483, 12.0257, 544.2106, 1420.527, 2637.904, 1459.163, 0, 1001.558, 1967.67, 0, 1240.931, 771.257, 371.6894, 3082.825, 0, 1564.445, 2059.506, 2671.096, 1260.773, 2834.401, 2047.875, 512.373, 1296.099, 985.8069, 710.2676, 1994.371, 2475.763, 1960.344, 2187.959
5.5, 610.8376, 236.7886, 453.0382, 230.2308, 0, 180.86, 3372.283, 551.0909, 426.5948, 11.52936, 521.5549, 1442.9, 2696.08, 1432.914, 0, 956.2476, 1879.124, 0, 1277.526, 944.41, 356.6934, 3128.099, 0, 1522.287, 2172.569, 2548.509, 1256.079, 2902.533, 1961.235, 486.7799, 1463.456, 1123.452, 678.105, 2061.755, 2548.162, 1919.864, 2186.925
5.6, 657.7198, 226.7966, 433.9921, 220.8055, 0, 172.1722, 3436.595, 526.8423, 454.8111, 11.05351, 530.2452, 1416, 2653.034, 1505.383, 0, 912.9868, 1994.834, 0, 1332.091, 902.9719, 342.3024, 3123.861, 0, 1616.167, 2076.12, 2680.752, 1346.687, 2917.308, 2002.096, 487.7462, 1399.544, 1076.005, 673.4606, 2116.116, 2437.889, 2014.703, 2169.495
5.7, 629.1385, 225.6531, 415.7467, 318.9236, 0, 213.2086, 3402.951, 503.6606, 434.8779, 10.59729, 508.1709, 1453.882, 2618.614, 1634.012, 0, 871.6832, 2047.718, 0, 1272.331, 958.1812, 328.4921, 3113.905, 0, 1544.888, 2127.226, 2582.973, 1289.286, 2790.469, 2020.472, 463.3832, 1528.377, 1047.668, 642.9647, 2070.666, 2597.568, 1931.585, 2168.665
5.8, 601.7993, 216.131, 398.2684, 305.8673, 0, 202.9669, 3328.706, 534.6573, 415.8183, 10.15991, 487.0156, 1529.077, 2642.816, 1634.007, 0, 913.3315, 1955.57, 0, 1215.252, 916.1387, 315.2389, 3106.341, 0, 1641.945, 2160.163, 2632.001, 1326.538, 2881.053, 2068.728, 594.2097, 1461.63, 1065.409, 686.6622, 2009.035, 2485.157, 2059.435, 2190.859
5.9, 575.648, 207.0107, 381.5248, 293.3455, 0, 193.2171, 3362.374, 553.8221, 448.7744, 9.740576, 517.306, 1530.601, 2619.975, 1567.302, 0, 872.0123, 1956.687, 0, 1321.526, 875.941, 377.2762, 3079.076, 0, 1569.528, 2064.265, 2668.359, 1269.996, 2811.525, 2094.016, 564.5289, 1531.747, 1048.276, 672.2913, 2098.269, 2514.973, 2165.241, 2090.644
6, 550.6332, 198.2753, 365.4852, 281.3363, 0, 183.9357, 3375.148, 529.4532, 517.8476, 9.338549, 495.7704, 1593.03, 2675.275, 1571.231, 0, 832.5624, 1970.787, 0, 1262.241, 837.5071, 362.0548, 2977.002, 0, 1695.283, 2048.1, 2692.017, 1254.261, 2826.173, 2157.288, 536.3306, 1464.853, 1004.003, 806.9229, 2007.67, 2541.693, 2075.913, 1995.012
6.1, 648.1595, 189.9085, 350.1199, 269.8188, 0, 222.0699, 3223.025, 506.1567, 495.1516, 8.953115, 505.0847, 1524.366, 2567.944, 1579.398, 0, 794.8972, 1882.101, 0, 1242.837, 920.4598, 347.4475, 3197.614, 0, 1735.483, 1957.177, 2580.136, 1316.708, 2956.819, 2183.554, 509.5408, 1425.808, 1057.987, 770.3835, 1943.108, 2431.7, 1990.27, 2046.897
6.2, 619.9937, 181.8948, 357.5993, 258.7728, 0, 287.3561, 3190.417, 571.6971, 473.4504, 8.583591, 548.0726, 1588.65, 2641.344, 1514.922, 0, 758.9359, 1915.943, 0, 1187.082, 880.0726, 333.4296, 3216.091, 0, 1658.941, 2024.104, 2787.816, 1260.585, 2939.682, 2194.161, 484.0892, 1541.935, 1129.029, 937.3743, 1859.209, 2496.313, 2093.656, 1983.165
6.3, 598.5919, 240.7935, 448.9557, 248.179, 0, 273.5526, 3339.79, 546.5417, 452.7003, 8.229318, 525.2561, 1520.175, 2526.953, 1453.078, 0, 907.0604, 2046.755, 0, 1163.477, 853.1015, 499.4243, 3173.163, 0, 1741.65, 2105.281, 2749.204, 1262.81, 2999.762, 2180.077, 502.3487, 1654.602, 1081.346, 894.9277, 1932.84, 2388.285, 2007.28, 2133.055
