 , C000, C001, C002, C003, C004, C006, C007, C009, C010, C011, C012, C014, C016, C019, C022, C024, C025, C026, C027, C028, C029, C030, C034, C035, C041, C043, C046, C047, C048, C055, C057, C060, C061, C077, C086, C088, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 25.11639, 0, 0, 0, 0, 0, 0, 53.98486, 717.2864, 0, 0, 0, 103.5388, 0, 0, 0, 0, 52.40683, 0, 114.1817, 0, 147.1223, 32.74219, 0, 0, 0, 77.47148, 21.81607, 78.99896, 0, 115.4648, 210.7068, 32.94373, 0
0.2, 0, 0, 0, 154.5662, 0, 0, 0, -7.629395e-06, 0, 0, 51.28943, 1312.886, 0, 0, 0, 275.423, -0.0002441406, -3.051758e-05, 0, 0, 116.106, 0, 183.8427, 0, 193.8093, 137.447, 71.65641, 0, 0, 74.10435, 105.9426, 177.0656, 6.103516e-05, 282.863, 200.7354, 130.9118, 0
0.3, 0, 1.525879e-05, 0, 147.6416, 0, 0, 6.103516e-05, -7.629395e-06, 0, 0, 107.0573, 1503.794, 0, 0, 32.11755, 262.8988, 0, -3.051758e-05, -3.051758e-05, 58.10364, 177.0204, 0, 241.2437, 0, 229.7527, 130.6711, 394.0457, 0, 0, 70.88358, 175.0802, 208.2679, 6.103516e-05, 516.4111, 191.2361, 125.0304, 0
0.4, 0, 1.525879e-05, 0, 141.0273, 0, 7.629395e-06, 6.103516e-05, -7.629395e-06, 0, 0, 126.2682, 1434.718, 1.525879e-05, 53.62576, 41.75415, 315.4415, -0.0002441406, -3.051758e-05, -3.051758e-05, 74.56628, 240.4505, 0, 230.0746, 0, 385.7249, 234.7542, 628.9624, 0, 45.79184, 67.80276, 167.4597, 199.1268, 0, 516.0691, 343.0629, 119.4132, 6.103516e-05
0.5, 0, 0, 0, 134.7092, 0, 7.629395e-06, 6.103516e-05, 0, 0, -1.525879e-05, 145.9365, 1548.622, 1.525879e-05, 50.81094, 250.947, 301.0977, 66.78979, -3.051758e-05, 0, 70.9436, 229.0846, 0, 258.8428, 0, 398.6677, 278.4222, 1033.824, 0, 124.5634, 64.85587, 160.1709, 247.7288, 0, 616.8188, 326.8281, 114.0484, 0
0.6, 0, 1.525879e-05, 0, 171.6183, 0, 0, 0, -7.629395e-06, 0, -7.629395e-06, 138.65, 1516.181, 1.525879e-05, 48.14386, 344.4111, 287.406, 106.1382, 0, 0, 249.3676, 218.2559, 0, 246.859, 0, 579.3127, 264.6966, 1242.731, 0, 118.6657, 62.03705, 208.2888, 334.4302, 0, 747.6011, 448.6098, 108.9246, 0
0.7, 0, 0, 0, 201.7596, 0, 0, 0, -7.629395e-06, 0, -7.629395e-06, 131.7275, 1649.263, 1.525879e-05, 80.96313, 398.5868, 274.3369, 101.46, 0, -3.051758e-05, 520.4503, 207.9391, 0, 235.4299, 0, 649.8376, 313.2926, 1440.214, 1.907349e-06, 113.0473, 59.34074, 226.0883, 348.453, 0, 770.636, 427.3802, 104.0311, 0
0.8, 0, 0, 0, 208.6907, 0, 7.629395e-06, 6.103516e-05, -7.629395e-06, 0, -7.629395e-06, 125.1505, 1573.505, 1.525879e-05, 218.1676, 532.822, 382.7184, 177.4879, -3.051758e-05, 0, 782.6335, 263.7724, 0, 364.2443, 0, 791.9758, 297.8478, 1659.467, 1.907349e-06, 149.1809, 56.76161, 246.4976, 411.1181, 0, 886.5027, 407.1552, 99.3573, 0
0.9, 0, -1.525879e-05, 0, 238.6902, 0, 0, 6.103516e-05, -7.629395e-06, 0, -7.629395e-06, 118.9019, 1501.227, 1.525879e-05, 206.7159, 769.6418, 413.2689, 169.6647, 0, 0, 1124.046, 251.304, 0, 383.3362, 0, 803.3857, 305.0583, 2013.674, 1.907349e-06, 236.6186, 54.2946, 235.7686, 393.0737, 0, 849.7507, 516.8246, 94.89349, 6.103516e-05
1, 0, -1.525879e-05, 0, 287.0576, 0, 0, 6.103516e-05, -7.629395e-06, 0, 0, 191.6235, 1485.11, 1.525879e-05, 195.8653, 780.4313, 394.4766, 256.5161, -3.051758e-05, 0, 1069.435, 253.513, 0, 457.8583, 0, 878.0466, 437.9124, 2208.237, 9.536743e-07, 225.4154, 51.9348, 254.779, 558.9689, 0, 1110.813, 492.3668, 90.63031, 6.103516e-05
1.1, 0, -2.288818e-05, 0, 280.5452, 0, 0, 6.103516e-05, -7.629395e-06, 0, -7.629395e-06, 208.7291, 1670.314, 1.525879e-05, 185.5843, 819.3762, 618.6924, 294.5742, 0, 0, 1017.478, 241.5296, 0, 436.6605, 0, 932.0186, 416.3242, 2519.686, 9.536743e-07, 214.7426, 49.67758, 243.6896, 570.6924, -3.051758e-05, 1099.208, 469.0665, 86.55865, 3.051758e-05
1.2, 0, -1.525879e-05, 0, 303.0547, 0, 0, 6.103516e-05, -3.814697e-06, 0, -7.629395e-06, 198.3076, 1610.805, 0, 175.843, 840.6108, 590.5588, 281.59, 0, 0, 1094.999, 284.297, 0, 433.3646, 0, 1050.221, 448.0187, 2746.973, 9.536743e-07, 242.5497, 47.51843, 364.8987, 600.252, 0, 1176.25, 446.8688, 141.5553, 0
1.3, 0, -1.525879e-05, 0, 289.4779, 0, 0, 6.103516e-05, 0, 0, -7.629395e-06, 188.4064, 1567.492, 0, 166.6129, 878.639, 672.9486, 269.1781, 3.051758e-05, -3.051758e-05, 1197.803, 270.8584, 0, 477.5291, 0, 1000.747, 425.9323, 2957.153, 9.536743e-07, 231.0658, 45.45316, 349.0162, 661.0097, 0, 1226.762, 425.7216, 135.1957, 3.051758e-05
1.4, 0, -1.525879e-05, 0, 276.5093, 0, -3.814697e-06, 3.051758e-05, 3.814697e-06, 0, -7.629395e-06, 251.4054, 1520.564, 0, 157.8674, 1167.488, 642.3478, 257.3134, 3.051758e-05, -3.051758e-05, 1183.908, 258.0551, 0, 455.4205, 0, 997.4432, 469.9082, 3031.216, 9.536743e-07, 220.1255, 43.47764, 461.6064, 631.9973, 0, 1231.396, 405.5751, 129.1219, 6.103516e-05
1.5, 0, -1.525879e-05, 0, 264.1216, 0, -3.814697e-06, 0, 3.814697e-06, 0, -7.629395e-06, 238.8531, 1644.715, 1.525879e-05, 149.5809, 1128.302, 794.1805, 245.9716, 3.051758e-05, -3.051758e-05, 1356.816, 283.7616, 0, 434.3354, 0, 1090.864, 446.7427, 3040.62, 9.536743e-07, 422.6159, 41.58798, 441.5146, 655.9464, -3.051758e-05, 1413.647, 472.9165, 171.5059, 3.051758e-05
1.6, 0, -7.629395e-06, 0, 252.2889, 0, -3.814697e-06, 0, 3.814697e-06, 0, 0, 355.5763, 1569.166, 2.288818e-05, 141.7294, 1120.464, 758.0671, 279.4875, 6.103516e-05, -1.525879e-05, 1327.254, 270.3484, 0, 461.1095, 0, 1151.335, 424.7191, 3256.005, 1.907349e-06, 402.6063, 39.78044, 422.2974, 699.6, -3.051758e-05, 1430.48, 450.5366, 163.8008, 3.051758e-05
1.7, 0, -1.525879e-05, 0, 322.2718, 0, -7.629395e-06, 0, 3.814697e-06, 0, 0, 337.8229, 1524.873, 2.288818e-05, 134.29, 1137.226, 723.5958, 411.4467, 4.577637e-05, -1.525879e-05, 1306.537, 273.1991, 0, 642.512, 0, 1315.03, 508.3216, 3296.997, 1.907349e-06, 438.6234, 38.05146, 403.9165, 668.8939, 0, 1521.403, 429.2158, 156.4417, 6.103516e-05
1.8, 0, -7.629395e-06, 0, 307.834, 0, -7.629395e-06, 3.051758e-05, 3.814697e-06, 0, -7.629395e-06, 320.9559, 1736.182, 1.525879e-05, 127.2411, 1087.328, 690.6921, 393.3109, 3.051758e-05, 0, 1471.783, 284.973, 0, 612.765, 0, 1305.927, 520.1719, 3496.685, 1.907349e-06, 417.8559, 301.2994, 386.3358, 639.5354, -3.051758e-05, 1617.247, 408.904, 149.4134, 6.103516e-05
1.9, 0, -7.629395e-06, 0, 314.4878, 0, -7.629395e-06, 0, 0, 0, -3.814697e-06, 304.931, 1773.435, 1.525879e-05, 120.5622, 1162.511, 659.2845, 543.9921, 3.051758e-05, 0, 1441.379, 355.7994, 0, 584.3953, 0, 1340.395, 494.5284, 3498.349, 9.536743e-07, 398.0717, 453.9134, 369.5202, 631.4155, -3.051758e-05, 1550.2, 430.6298, 142.7007, 6.103516e-05
2, 0, -1.525879e-05, 0, 300.3987, 0, -7.629395e-06, 3.051758e-05, 0, 0, 0, 289.7062, 1702.971, 87.22153, 114.2338, 1151.139, 783.6274, 579.3636, 1.525879e-05, 0, 1431.283, 338.981, 0, 656.2765, 0, 1368.661, 547.2379, 3642.192, 9.536743e-07, 379.2242, 434.185, 353.4365, 603.702, -3.051758e-05, 1827.966, 484.4383, 136.2897, 6.103516e-05
2.1, 0, -1.525879e-05, 0, 286.9407, 0, -7.629395e-06, 3.051758e-05, 3.814697e-06, 0, 0, 275.2416, 1624.745, 83.33276, 108.2377, 1196.359, 747.9938, 563.1458, 3.051758e-05, 0, 1416.606, 322.9575, 0, 625.8923, 0, 1304.186, 610.4896, 3722.803, 9.536743e-07, 454.4812, 482.6703, 500.9279, 595.6805, -3.051758e-05, 1799.312, 461.5132, 130.1667, 6.103516e-05
2.2, 0, -2.288818e-05, 0, 314.9072, 0, -7.629395e-06, 3.051758e-05, 3.814697e-06, 0, 3.814697e-06, 379.7051, 1780.536, 131.339, 102.5563, 1212.756, 713.9807, 638.7489, 3.051758e-05, 0, 1393.423, 335.9036, 0, 641.3141, 0, 1392.165, 580.3937, 3898.764, 1.907349e-06, 467.8999, 461.6921, 604.0734, 626.0474, -3.051758e-05, 1836.199, 479.5595, 249.8961, 6.103516e-05
2.3, 0, -1.907349e-05, 0, 300.7993, 0, -3.814697e-06, 3.051758e-05, 3.814697e-06, 0, 0, 381.9402, 1775.123, 125.4833, 97.17307, 1288.335, 857.2784, 689.8076, 3.051758e-05, 0, 1388.867, 320.0257, 0, 611.6226, 0, 1451.809, 571.1582, 3985.73, 1.907349e-06, 445.7462, 441.6256, 577.7806, 719.0424, -3.051758e-05, 1882.045, 492, 238.6692, 6.103516e-05
2.4, 0, -1.907349e-05, 0, 287.3235, 0, -7.629395e-06, 3.051758e-05, 3.814697e-06, 0, -3.814697e-06, 407.2336, 1806.717, 119.8886, 92.07243, 1231.808, 997.4255, 841.8157, 3.051758e-05, 0, 1357.228, 304.8983, 0, 583.3058, 19.86968, 1416.105, 652.1322, 4033.315, 1.907349e-06, 424.6415, 422.4313, 552.6323, 687.4829, -4.577637e-05, 1858.325, 507.3825, 227.9466, 6.103516e-05
2.5, 0, -1.907349e-05, 0, 274.4513, 0, -7.629395e-06, 0, 1.907349e-06, 0, -3.814697e-06, 433.8227, 1875.464, 114.5433, 87.23953, 1264.811, 952.07, 1085.112, 1.525879e-05, 0, 1291.288, 325.3311, 0, 680.0335, 19.02635, 1501.004, 619.9833, 4032.199, 9.536743e-07, 404.5359, 404.0713, 528.5785, 816.0955, -4.577637e-05, 2002.503, 531.0234, 217.7058, 9.155273e-05
2.6, 0, -2.288818e-05, 0, 262.1559, 0, -7.629395e-06, 3.051758e-05, 1.907349e-06, 0, -3.814697e-06, 478.1222, 1796.133, 109.4364, 82.66032, 1209.316, 1049.099, 1144.185, 1.525879e-05, -1.525879e-05, 1228.553, 309.9529, 0, 648.5494, 71.55412, 1479.611, 640.8695, 3961.488, 9.536743e-07, 385.3824, 386.5092, 505.5717, 780.2762, -4.577637e-05, 2110.697, 555.9374, 207.925, 7.629395e-05
2.7, 0, -2.288818e-05, 0, 250.4113, 0, -5.722046e-06, 3.051758e-05, 1.907349e-06, 0, -3.814697e-06, 454.2501, 1831.758, 104.5572, 78.32146, 1216.215, 1060.31, 1191.704, 1.525879e-05, 0, 1263.909, 295.3016, 0, 618.5229, 133.085, 1545.699, 726.4451, 4092.997, 4.768372e-07, 416.9655, 369.7104, 744.9554, 746.0291, -6.103516e-05, 2128.026, 529.6288, 198.5837, 6.103516e-05
2.8, 0, -1.907349e-05, 0, 239.1928, 0, -5.722046e-06, 3.051758e-05, 1.907349e-06, 0, 0, 548.7047, 1874.35, 99.89545, 74.21036, 1194.462, 1012.095, 1139.177, 1.525879e-05, 0, 1331.721, 281.3429, 0, 614.9532, 135.8636, 1497.266, 713.0916, 4058.272, 9.536743e-07, 488.7524, 353.6417, 712.5306, 750.5064, -3.051758e-05, 2269.605, 553.2712, 189.662, 7.629395e-05
2.9, 0, -1.907349e-05, 0, 228.4769, 0, -5.722046e-06, 1.525879e-05, 1.907349e-06, 0, 0, 563.8041, 1788.252, 95.44161, 70.31504, 1142.054, 1029.151, 1236.503, 1.525879e-05, 1.525879e-05, 1445.043, 268.0439, 0, 624.5222, 196.9764, 1468.184, 755.3037, 3885.329, 9.536743e-07, 548.5248, 338.2714, 681.5172, 848.5015, -3.051758e-05, 2328.792, 527.0887, 181.1412, 7.629395e-05
3, 0, -1.907349e-05, 0, 269.2093, 0, -5.722046e-06, 1.525879e-05, 1.907349e-06, 0, 0, 535.6542, 1775.886, 91.18633, 66.62418, 1091.945, 1047.707, 1326.998, 1.525879e-05, 1.525879e-05, 1534.318, 292.9539, 0, 699.8679, 188.6162, 1535.954, 742.3644, 4045.642, 4.768372e-07, 522.5538, 323.5692, 651.8536, 850.4603, -1.525879e-05, 2366.348, 502.1453, 173.0032, 7.629395e-05
3.1, 0, -1.907349e-05, 0, 324.6456, 0, -5.722046e-06, 1.525879e-05, 1.907349e-06, 0, 0, 508.9097, 1832.023, 87.12077, 63.12707, 1118.237, 1078.038, 1345.821, 1.525879e-05, 1.525879e-05, 1478.82, 279.1061, 0, 667.4656, 180.6108, 1463.598, 732.5006, 4221.453, 9.536743e-07, 497.8124, 471.4799, 623.4811, 813.1328, -3.051758e-05, 2289.521, 478.3822, 165.2308, 6.103516e-05
3.2, 0, -1.907349e-05, 0, 310.1014, 0, -5.722046e-06, 3.051758e-05, 0, 0, 0, 576.2994, 1747.87, 141.193, 59.81351, 1085.606, 1095.066, 1390.815, 1.525879e-05, 2.288818e-05, 1567.002, 302.0864, 0, 759.4264, 172.9452, 1509.539, 696.3898, 4274.082, 1.430511e-06, 474.2425, 450.988, 596.3436, 777.4436, -3.051758e-05, 2326.075, 455.7437, 157.8075, 6.103516e-05
3.3, 0, -1.907349e-05, 0, 330.1433, 0, -3.814697e-06, 3.051758e-05, 0, 0, -1.907349e-06, 564.8931, 1700.273, 134.8979, 56.67389, 1063.164, 1045.27, 1438.729, 1.525879e-05, 2.288818e-05, 1490.871, 287.8069, 0, 724.2665, 165.6049, 1557.592, 711.6738, 4128.67, 9.536743e-07, 451.7885, 431.3868, 570.3873, 788.9291, -3.051758e-05, 2498.146, 722.9031, 150.7178, 6.103516e-05
3.4, 0, -1.907349e-05, 0, 315.3529, 0, -1.907349e-06, 117.9367, 0, 0, -1.907349e-06, 536.6888, 1861.357, 199.9873, 53.69907, 1016.517, 997.7391, 1375.313, 1.525879e-05, 2.288818e-05, 1571.598, 291.7317, 0, 690.7345, 188.3193, 1598.429, 775.9651, 4124.029, 9.536743e-07, 556.7276, 412.6375, 545.5607, 754.3022, -3.051758e-05, 2394.579, 688.6931, 143.9466, 6.103516e-05
3.5, 0, -1.907349e-05, 0, 301.225, 0, -3.814697e-06, 124.0577, 0, 0, -1.907349e-06, 960.981, 1838.706, 191.0708, 50.88039, 971.9158, 1039.279, 1422.678, 1.525879e-05, 2.288818e-05, 1495.244, 416.6133, 0, 819.3235, 215.7872, 1606.883, 910.2465, 4076.089, 9.536743e-07, 530.3682, 394.7031, 521.8148, 872.8694, -3.051758e-05, 2556.706, 656.1019, 137.4795, 4.577637e-05
3.6, 0, -1.907349e-05, 0, 287.7301, 0, -3.814697e-06, 147.9747, 0, 0, -1.907349e-06, 1411.034, 1819.024, 182.5519, 48.20967, 929.2719, 992.02, 1359.97, 1.525879e-05, 2.288818e-05, 1501.518, 519.2204, 0, 794.3867, 206.6286, 1728.974, 932.3739, 4023.49, 9.536743e-07, 548.4614, 377.5482, 499.1023, 834.5583, -1.525879e-05, 2571.658, 625.0532, 131.3031, 4.577637e-05
3.7, 0, -1.907349e-05, 0, 306.8205, 0, -3.814697e-06, 141.8034, 1.907349e-06, 0, -1.907349e-06, 1494.383, 1905.972, 174.4128, 45.67915, 948.8303, 946.9104, 1300.025, 2.288818e-05, 1.525879e-05, 1457.046, 526.6649, 0, 779.2372, 224.3125, 1765.166, 951.1382, 3927.148, 9.536743e-07, 522.4933, 361.1388, 477.3785, 825.0098, -2.288818e-05, 2488.757, 595.4737, 125.4041, 3.051758e-05
3.8, 0, -2.098083e-05, 0, 293.075, 0, -3.814697e-06, 135.8895, 1.907349e-06, 0, -1.907349e-06, 1455.544, 1939.468, 166.6366, 43.28144, 1003.175, 903.8519, 1263.549, 1.525879e-05, 1.525879e-05, 1386.257, 501.7697, 0, 743.1602, 214.792, 1777.847, 944.2929, 3914.53, 9.536743e-07, 497.7549, 345.4427, 456.6002, 802.0115, -2.288818e-05, 2691.668, 567.2941, 119.7702, 4.577637e-05
3.9, 0, -2.098083e-05, 0, 279.9451, 0, -1.907349e-06, 163.8651, 9.536743e-07, 0, -1.907349e-06, 1382.87, 1850.379, 159.2071, 41.00959, 959.1597, 937.916, 1226.19, 2.288818e-05, 1.525879e-05, 1394.025, 478.0514, 0, 708.7534, 205.6757, 1694.096, 922.1764, 4130.381, 9.536743e-07, 474.1877, 330.4288, 436.7263, 766.8104, -2.288818e-05, 2580.079, 540.4479, 114.3893, 4.577637e-05
4, 0, -1.907349e-05, 0, 294.3704, 0, -1.907349e-06, 157.0312, 9.536743e-07, 0, -1.907349e-06, 1313.826, 1822.907, 152.1088, 38.85699, 917.0754, 895.2666, 1172.142, 2.288818e-05, 7.629395e-06, 1326.298, 500.4708, 0, 754.8979, 196.9462, 1648.108, 876.7149, 4433.555, 9.536743e-07, 451.7363, 316.0674, 417.7175, 733.1544, -1.525879e-05, 2625.702, 514.8723, 109.2502, 4.577637e-05
4.1, 0, -1.716614e-05, 0, 281.1825, 0, -9.536743e-07, 150.4822, 9.536743e-07, 0, -1.907349e-06, 1297.09, 1739.172, 183.2499, 36.81738, 1017.92, 938.3979, 1150.175, 2.288818e-05, 7.629395e-06, 1293.772, 476.8138, 0, 759.0829, 188.5873, 1618.036, 876.3055, 4507.808, 9.536743e-07, 502.4098, 302.3302, 399.536, 738.3904, -1.525879e-05, 2737.094, 490.5069, 104.3419, 3.814697e-05
4.2, 0, -1.716614e-05, 0, 280.1425, 0, -9.536743e-07, 144.2064, 9.536743e-07, 0, -1.907349e-06, 1232.328, 1816.23, 201.06, 34.88483, 973.2573, 1006.175, 1146.174, 2.288818e-05, 7.629395e-06, 1265.124, 514.4465, 0, 740.0466, 227.573, 1578.662, 833.1053, 4553.153, 1.192093e-06, 478.6222, 289.1901, 382.1458, 725.7825, -7.629395e-06, 2713.153, 467.2946, 99.65424, 3.814697e-05
4.3, 0, -1.716614e-05, 0, 303.909, 0, -9.536743e-07, 199.1772, 9.536743e-07, 0, -1.907349e-06, 1170.8, 1748.939, 192.0957, 33.05372, 930.5545, 960.4218, 1356.058, 2.288818e-05, 7.629395e-06, 1315.259, 490.129, 0, 705.7841, 217.9142, 1586.2, 846.5101, 4590.637, 9.536743e-07, 501.9159, 276.621, 365.5126, 761.6528, -7.629395e-06, 2866.952, 445.1808, 95.17713, 4.577637e-05
4.4, 0, -1.525879e-05, 0, 317.6736, 0, -9.536743e-07, 190.8706, 9.536743e-07, 0, -3.814697e-06, 1266.761, 1668.602, 183.5311, 31.31873, 941.452, 998.7189, 1393.164, 163.1567, 1.525879e-05, 1251.358, 532.4465, 0, 673.1077, 284.1505, 1734.026, 870.5693, 4680.311, 9.536743e-07, 478.1517, 264.5983, 536.2689, 766.4536, 0, 2790.094, 424.1134, 203.5775, 4.577637e-05
4.5, 0, -1.335144e-05, 0, 303.4418, 0, -9.536743e-07, 182.9103, 9.536743e-07, 0, -3.814697e-06, 1278.114, 1859.227, 175.3483, 29.6748, 900.1447, 953.3046, 1346.649, 156.0186, 1.525879e-05, 1190.563, 548.2479, 0, 795.2315, 272.0904, 1724.427, 827.6519, 4667.084, 9.536743e-07, 455.5126, 253.0981, 512.9274, 732.8132, 0, 2878.022, 404.043, 291.4675, 3.814697e-05
4.6, 0, -1.335144e-05, 0, 289.8476, 0, -1.907349e-06, 175.2821, 9.536743e-07, 0, -3.814697e-06, 1229.732, 1773.824, 167.5304, 28.11716, 905.8135, 972.8505, 1287.292, 149.1928, 7.629395e-06, 1198.057, 522.3326, 0, 758.4139, 260.5421, 1716.651, 786.8503, 4648.759, 7.152557e-07, 486.0198, 242.0977, 667.6972, 700.6493, 0, 2962.202, 384.9225, 278.3729, 3.814697e-05
4.7, 0, -1.335144e-05, 0, 311.9174, 0, -1.907349e-06, 204.1895, 9.536743e-07, 0, -2.861023e-06, 1231.635, 1768.043, 254.3557, 26.64128, 911.5884, 928.6125, 1357.165, 175.2425, 7.629395e-06, 1176.881, 497.6422, 0, 723.3009, 373.3802, 1776.851, 847.1647, 4607.734, 4.768372e-07, 511.7672, 231.5754, 638.6351, 669.8971, 0, 2894.431, 366.7068, 265.8666, 3.814697e-05
4.8, 0, -1.335144e-05, 0, 329.9208, 0, -2.861023e-06, 195.6738, 9.536743e-07, 0, -1.907349e-06, 1170.141, 1749.587, 243.0153, 25.24288, 871.5914, 956.9471, 1338.694, 167.5757, 1.144409e-05, 1381.256, 553.9692, 0, 689.8136, 394.6814, 1693.147, 817.8895, 4692.969, 4.768372e-07, 487.5365, 300.1119, 674.1902, 640.4946, 0, 2928.756, 349.353, 253.9221, 3.814697e-05
4.9, 64.34599, -1.144409e-05, 0, 315.1403, 0, -1.907349e-06, 187.5132, 0, 0, -1.907349e-06, 1194.15, 1725.671, 232.1804, 23.91787, 833.3493, 1018.587, 1279.688, 183.5662, 1.144409e-05, 1405.508, 527.7834, 0, 657.8767, 377.93, 1706.252, 838.3232, 4561.921, 4.768372e-07, 605.5337, 287.0682, 644.8455, 612.3826, 0, 2959.067, 332.8206, 242.5143, 3.814697e-05
5, 61.31672, -1.144409e-05, 0, 301.022, 0, -1.907349e-06, 268.2177, 9.536743e-07, 0, -2.861023e-06, 1247.721, 1770.643, 221.8286, 22.66242, 796.7852, 1049.619, 1331.719, 297.0385, 1.144409e-05, 1337.223, 502.8354, 0, 673.8383, 361.8896, 1625.874, 812.0055, 4477.824, 4.768372e-07, 576.8635, 274.5914, 616.7781, 610.751, -7.629395e-06, 2836.392, 317.0705, 288.0178, 3.814697e-05
5.1, 109.5098, -1.144409e-05, 0, 287.5362, 13.15853, -1.907349e-06, 257.0317, 0, 0, -2.861023e-06, 1263.88, 1763.844, 345.178, 21.47286, 761.8253, 1151.148, 1421.101, 310.1511, 1.144409e-05, 1294.497, 479.0666, 0, 642.641, 442.246, 1569.173, 788.9167, 4523.491, 2.384186e-07, 549.5507, 393.0263, 656.9636, 648.8082, -7.629395e-06, 2955.604, 302.0657, 275.0781, 3.814697e-05
5.2, 186.7108, -1.049042e-05, 0, 274.6545, 12.54423, -9.536743e-07, 246.3123, 9.536743e-07, 0, -1.907349e-06, 1223.828, 1759.648, 329.7882, 20.34575, 817.0309, 1129.312, 1358.462, 296.582, 1.144409e-05, 1309.216, 456.4214, 0, 612.8881, 423.4758, 1617.589, 750.0247, 4489.217, 2.384186e-07, 523.5311, 375.9442, 654.2449, 620.3314, -3.814697e-06, 3025.231, 287.771, 262.7198, 3.814697e-05
5.3, 177.9209, -9.536743e-06, 0, 262.35, 11.9586, -9.536743e-07, 302.5841, 4.768372e-07, 0, -1.907349e-06, 1162.724, 1696.952, 518.89, 19.2778, 781.1827, 1077.959, 1437.134, 283.6065, 7.629395e-06, 1281.662, 434.8467, 0, 584.5126, 422.2479, 1582.786, 758.348, 4457.365, 2.384186e-07, 498.7435, 359.6046, 625.7684, 593.1044, -3.814697e-06, 2999.772, 274.1528, 250.9168, 3.051758e-05
5.4, 312.2693, -9.536743e-06, 0, 301.526, 11.40031, -9.536743e-07, 394.8889, 9.536743e-07, 0, -2.861023e-06, 1104.671, 1619.003, 495.7552, 18.2659, 746.9073, 1028.941, 1395.73, 271.1988, 7.629395e-06, 1219.394, 414.2917, 0, 557.4509, 628.3135, 1593.985, 793.7893, 4523.14, 2.384186e-07, 475.1295, 343.9752, 734.1489, 691.5059, -3.814697e-06, 3104.416, 261.179, 316.8137, 3.051758e-05
5.5, 356.0257, -8.583069e-06, 0, 288.0176, 10.86809, -9.536743e-07, 378.4201, 9.536743e-07, 0, -1.907349e-06, 1222.938, 1770.199, 473.6519, 17.30712, 714.1359, 1000.865, 1531.074, 347.4901, 7.629395e-06, 1204.484, 394.7084, 0, 555.5154, 644.2305, 1533.28, 754.657, 4600.507, 2.384186e-07, 550.3067, 329.025, 702.1945, 661.155, 0, 2975.715, 248.8192, 302.5804, 2.288818e-05
5.6, 378.8753, -8.583069e-06, 0, 275.1143, 52.08614, -9.536743e-07, 362.6381, 9.536743e-07, 0, -1.907349e-06, 1161.878, 1696.229, 452.5341, 16.39866, 682.8024, 1103.207, 1463.588, 332.2875, 7.629395e-06, 1334.832, 376.0508, 0, 596.2969, 661.3284, 1641.16, 846.8785, 4619.116, 1.192093e-07, 628.1824, 314.7246, 671.6309, 662.9236, 264.4521, 3121.027, 237.0443, 288.9865, 2.670288e-05
5.7, 461.2968, -7.629395e-06, 0, 278.8598, 64.1062, -9.536743e-07, 347.5144, 1.430511e-06, 0, -1.907349e-06, 1124.225, 1722.561, 432.3578, 15.53789, 652.8436, 1076.395, 1399.076, 390.0667, 7.629395e-06, 1330.894, 358.2751, 0, 568.6896, 633.2598, 1695.202, 805.129, 4673.925, 2.384186e-07, 598.4398, 301.0458, 642.3976, 633.8273, 553.1859, 2991.636, 225.8266, 276.0034, 2.670288e-05
5.8, 439.5799, -7.629395e-06, 0, 364.5061, 61.1134, -4.768372e-07, 333.0213, 1.430511e-06, 0, -9.536743e-07, 1147.119, 1643.436, 413.0811, 14.72231, 624.1993, 1027.448, 1360.786, 394.1281, 7.629395e-06, 1316.683, 341.3396, 0, 558.3746, 606.3825, 1656.534, 813.0437, 4724.466, 1.192093e-07, 570.1055, 287.9615, 614.4367, 674.2842, 591.6293, 3075.134, 215.1398, 263.6035, 2.670288e-05
5.9, 418.8855, -7.629395e-06, 0, 348.1762, 58.26033, -4.768372e-07, 319.1328, 1.430511e-06, 0, -1.430511e-06, 1212.805, 1642.321, 394.6638, 13.94953, 596.8119, 980.7276, 1404.37, 376.885, 3.814697e-06, 1266.972, 325.2047, 0, 570.8452, 580.6459, 1695.734, 772.9622, 4568.887, 1.192093e-07, 629.7999, 275.4459, 587.6929, 644.6892, 699.6425, 3062.46, 204.9587, 251.7608, 2.670288e-05
6, 399.1653, -6.67572e-06, 0, 332.5779, 74.44576, -9.536743e-07, 305.8233, 1.430511e-06, 0, -1.430511e-06, 1166.983, 1566.881, 377.0677, 13.21732, 570.6261, 1076.626, 1399.382, 360.3963, 3.814697e-06, 1229.273, 352.2745, 0, 544.4163, 556.0017, 1805.703, 734.8566, 4610.402, 0, 628.1828, 263.4742, 640.8989, 616.3932, 829.1135, 2935.499, 195.2594, 240.45, 2.288818e-05
